T=1.0, Entropy = 243.16987155695313
T=1.5, Entropy = 164.29324920738725
T=2.0, Entropy = 125.18198213112747
T=2.5, Entropy = 101.90274591048424
T=3.0, Entropy = 86.50450217648651
T=3.5, Entropy = 75.59001642461025
T=4.0, Entropy = 67.46583542698484
T=4.5, Entropy = 61.19412560331069
T=5.0, Entropy = 56.21396704690297
T=5.5, Entropy = 52.169496986051776
T=6.0, Entropy = 48.82415380666524
T=6.5, Entropy = 46.01460500928814
T=7.0, Entropy = 43.624481664961195
T=7.5, Entropy = 41.56865475789831
T=8.0, Entropy = 39.7834287514617
T=8.5, Entropy = 38.2202086565368
T=9.0, Entropy = 36.841285655200956
T=9.5, Entropy = 35.616958352931974
T=10.0, Entropy = 34.52352076104309
T=10.5, Entropy = 33.541827228886135
T=11.0, Entropy = 32.65625020483815
T=11.5, Entropy = 31.853910916464745
T=12.0, Entropy = 31.124103133403807
T=12.5, Entropy = 30.457855788930875
T=13.0, Entropy = 29.84759696222221
T=13.5, Entropy = 29.28689286147038
T=14.0, Entropy = 28.770242998147737
T=14.5, Entropy = 28.292917944629064
T=15.0, Entropy = 27.8508297053776
T=15.5, Entropy = 27.44042731143834
T=16.0, Entropy = 27.058612100468224
T=16.5, Entropy = 26.70266849069764
T=17.0, Entropy = 26.370207046260994
T=17.5, Entropy = 26.059117365480287
T=18.0, Entropy = 25.767528873875342
T=18.5, Entropy = 25.49377801971839
T=19.0, Entropy = 25.236380687220645
T=19.5, Entropy = 24.994008886310958
