T=0.1, Entropy = 684.0892563210638, Converged=True, damping=0.001
T=0.2, Entropy = 152.36416193403943, Converged=True, damping=0.001
T=0.30000000000000004, Entropy = 137.80636295962603, Converged=True, damping=0.001
T=0.4, Entropy = 103.35510287606718, Converged=True, damping=0.001
T=0.5, Entropy = 82.68592504779156, Converged=True, damping=0
T=0.6, Entropy = 68.91324835817115, Converged=True, damping=0
T=0.7000000000000001, Entropy = 57.79784271812799, Converged=True, damping=0
T=0.8, Entropy = 50.57940889753607, Converged=True, damping=0
T=0.9, Entropy = 46.03248004570788, Converged=True, damping=0
T=1.0, Entropy = 40.49501093009862, Converged=True, damping=0
T=1.1, Entropy = 36.84412020128642, Converged=True, damping=0
T=1.2000000000000002, Entropy = 33.81569163155874, Converged=True, damping=0
T=1.3000000000000003, Entropy = 32.18570868689248, Converged=True, damping=0
T=1.4000000000000001, Entropy = 30.010604913482513, Converged=True, damping=0
T=1.5000000000000002, Entropy = 27.242395648245306, Converged=True, damping=0
T=1.6, Entropy = 25.632743511813143, Converged=True, damping=0
T=1.7000000000000002, Entropy = 25.128192517615126, Converged=True, damping=0
T=1.8000000000000003, Entropy = 23.896605303908373, Converged=True, damping=0
T=1.9000000000000001, Entropy = 21.920614732207333, Converged=True, damping=0
T=2.0, Entropy = 21.849038709312275, Converged=True, damping=0
T=2.1, Entropy = 20.993373812973683, Converged=True, damping=0
T=2.2, Entropy = 20.22935058460439, Converged=True, damping=0
T=2.3000000000000003, Entropy = 19.544994970648162, Converged=True, damping=0
T=2.4000000000000004, Entropy = 18.093224030671685, Converged=True, damping=0
T=2.5000000000000004, Entropy = 18.37709953844678, Converged=True, damping=0
T=2.6, Entropy = 17.878212692460718, Converged=True, damping=0
T=2.7, Entropy = 17.427748090184, Converged=True, damping=0
T=2.8000000000000003, Entropy = 16.267410822452735, Converged=True, damping=0
T=2.9000000000000004, Entropy = 15.925152045684056, Converged=True, damping=0
T=3.0000000000000004, Entropy = 15.619704553562686, Converged=True, damping=0
T=3.1, Entropy = 15.347604997693324, Converged=True, damping=0
T=3.2, Entropy = 15.747419572051058, Converged=True, damping=0
T=3.3000000000000003, Entropy = 15.502653765039195, Converged=True, damping=0
T=3.4000000000000004, Entropy = 14.702736525283312, Converged=True, damping=0
T=3.5000000000000004, Entropy = 15.085058320253363, Converged=True, damping=0
T=3.6, Entropy = 14.908629955503628, Converged=True, damping=0
T=3.7, Entropy = 14.751707068698215, Converged=True, damping=0
T=3.8000000000000003, Entropy = 14.161359248269296, Converged=True, damping=0
T=3.9000000000000004, Entropy = 14.071858561260914, Converged=True, damping=0
T=4.0, Entropy = 14.38506161871273, Converged=True, damping=0
T=4.1, Entropy = 14.293834799159933, Converged=True, damping=0
T=4.2, Entropy = 14.216473407484981, Converged=True, damping=0
T=4.3, Entropy = 13.859219570629048, Converged=True, damping=0.001
T=4.3999999999999995, Entropy = 14.099913698198652, Converged=True, damping=0
T=4.5, Entropy = 14.05910687294035, Converged=True, damping=0
T=4.6, Entropy = 14.028909735417034, Converged=True, damping=0
T=4.7, Entropy = 14.008526840681013, Converged=True, damping=0
T=4.8, Entropy = 13.99709920819881, Converged=True, damping=0
T=4.9, Entropy = 13.989201394461862, Converged=True, damping=0.001
T=5.0, Entropy = 13.99288081999905, Converged=True, damping=0.001
T=5.1, Entropy = 13.989870180811568, Converged=True, damping=0.002
T=5.2, Entropy = 13.984024637885659, Converged=True, damping=0.003
T=5.3, Entropy = 14.004724316011337, Converged=True, damping=0.003
T=5.4, Entropy = 14.000686633882294, Converged=True, damping=0.004
T=5.5, Entropy = 14.0701278780508, Converged=True, damping=0
