T=0.1, Entropy = 43.172644590934546, Converged=True, damping=0.3, density N/V=5.486968447616617
T=0.2, Entropy = 21.58640454176674, Converged=True, damping=0.3, density N/V=5.486855505553724
T=0.30000000000000004, Entropy = 14.393914634536218, Converged=True, damping=0.3, density N/V=5.482761739466553
T=0.4, Entropy = 10.8118945455837, Converged=True, damping=0.3, density N/V=5.4604062779154265
T=0.5, Entropy = 8.691195946969474, Converged=True, damping=0.3, density N/V=5.404340097904915
T=0.6, Entropy = 7.314974638161646, Converged=True, damping=0.3, density N/V=5.307873933254882
T=0.7000000000000001, Entropy = 6.371998921912623, Converged=True, damping=0.3, density N/V=5.173516576391674
T=0.8, Entropy = 5.702770306765661, Converged=True, damping=0.3, density N/V=5.009075612474603
T=0.9, Entropy = 5.216150171549787, Converged=True, damping=0.3, density N/V=4.823523694045739
T=1.0, Entropy = 4.856202802395191, Converged=True, damping=0.3, density N/V=4.624561743435804
T=1.1, Entropy = 4.5869081194817465, Converged=True, damping=0.3, density N/V=4.417853593911915
T=1.2000000000000002, Entropy = 4.384265351474826, Converged=True, damping=0.3, density N/V=4.207154867536605
T=1.3000000000000003, Entropy = 4.23186446542155, Converged=True, damping=0.3, density N/V=3.9947301658245573
T=1.4000000000000001, Entropy = 4.118253340551348, Converged=True, damping=0.3, density N/V=3.781776690535686
T=1.5000000000000002, Entropy = 4.03530472739757, Converged=True, damping=0.3, density N/V=3.5687657932291446
T=1.6, Entropy = 3.97717008032741, Converged=True, damping=0.3, density N/V=3.3556933077802915
T=1.7000000000000002, Entropy = 3.939591906299518, Converged=True, damping=0.35, density N/V=3.1422538687278956
T=1.8000000000000003, Entropy = 3.9183428421327355, Converged=True, damping=0.44999999999999996, density N/V=3.018968170932003
T=1.9000000000000001, Entropy = 3.9031231453371937, Converged=True, damping=0.3, density N/V=3.0126167370789427
T=2.0, Entropy = 3.891428784887381, Converged=True, damping=0.3, density N/V=3.0091179464452527
T=2.1, Entropy = 3.88271632267469, Converged=True, damping=0.3, density N/V=3.008081490861226
T=2.2, Entropy = 3.876543311278465, Converged=True, damping=0.3, density N/V=3.0091783689037626
T=2.3000000000000003, Entropy = 3.8725451640739186, Converged=True, damping=0.3, density N/V=3.01212894083721
T=2.4000000000000004, Entropy = 3.8704183161404417, Converged=True, damping=0.3, density N/V=3.0166938328665256
T=2.5000000000000004, Entropy = 3.8699077265643234, Converged=True, damping=0.3, density N/V=3.02266688934037
T=2.6, Entropy = 3.8707974390079256, Converged=True, damping=0.3, density N/V=3.0298696264216374
T=2.7, Entropy = 3.872903338136904, Converged=True, damping=0.3, density N/V=3.038146807119899
T=2.8000000000000003, Entropy = 3.8760675107845253, Converged=True, damping=0.3, density N/V=3.047362868154036
T=2.9000000000000004, Entropy = 3.8801537991481494, Converged=True, damping=0.3, density N/V=3.057399003951531
T=3.0000000000000004, Entropy = 3.885044252855705, Converged=True, damping=0.3, density N/V=3.068150764669508
T=3.1, Entropy = 3.890636268260422, Converged=True, damping=0.3, density N/V=3.079526061309354
T=3.2, Entropy = 3.896840259845517, Converged=True, damping=0.3, density N/V=3.0914434968248528
T=3.3000000000000003, Entropy = 3.903577748435443, Converged=True, damping=0.3, density N/V=3.10383096086377
T=3.4000000000000004, Entropy = 3.9107797793742627, Converged=True, damping=0.3, density N/V=3.1166244395918503
T=3.5000000000000004, Entropy = 3.9183856044684955, Converged=True, damping=0.3, density N/V=3.1297670023717994
T=3.6, Entropy = 3.9263415766521836, Converged=True, damping=0.3, density N/V=3.143207934891759
T=3.7, Entropy = 3.9346002176073753, Converged=True, damping=0.3, density N/V=3.1569019943372374
T=3.8000000000000003, Entropy = 3.943119427057595, Converged=True, damping=0.3, density N/V=3.1708087668544613
T=3.9000000000000004, Entropy = 3.9518618089054365, Converged=True, damping=0.3, density N/V=3.1848921112001567
T=4.0, Entropy = 3.9607940943443167, Converged=True, damping=0.3, density N/V=3.1991196753578075
T=4.1, Entropy = 3.969886645920997, Converged=True, damping=0.3, density N/V=3.213462475201816
T=4.2, Entropy = 3.979113029536016, Converged=True, damping=0.3, density N/V=3.227894526141206
T=4.3, Entropy = 3.9884496437443717, Converged=True, damping=0.3, density N/V=3.2423925201722823
T=4.3999999999999995, Entropy = 3.997875397607549, Converged=True, damping=0.3, density N/V=3.2569355419901744
T=4.5, Entropy = 4.007371429860643, Converged=True, damping=0.3, density N/V=3.271504818809303
T=4.6, Entropy = 4.016920863377718, Converged=True, damping=0.3, density N/V=3.2860834993671837
T=4.7, Entropy = 4.026508589908018, Converged=True, damping=0.3, density N/V=3.3006564582684668
T=4.8, Entropy = 4.036121080862758, Converged=True, damping=0.3, density N/V=3.3152101223941077
T=4.9, Entropy = 4.045746220594903, Converged=True, damping=0.3, density N/V=3.329732316575112
