T=20.5, Entropy = 906.1233798317967, Converged=True, damping=0.3
T=20.0, Entropy = 904.9277198065303, Converged=True, damping=0.3
T=19.5, Entropy = 903.7908982455817, Converged=True, damping=0.3
T=19.0, Entropy = 902.7203573674689, Converged=True, damping=0.3
T=18.5, Entropy = 901.7243893162961, Converged=True, damping=0.3
T=18.0, Entropy = 900.8122499664871, Converged=True, damping=0.3
T=17.5, Entropy = 899.9942913643865, Converged=True, damping=0.3
T=17.0, Entropy = 899.2821165738484, Converged=True, damping=0.3
T=16.5, Entropy = 898.6887616259226, Converged=True, damping=0.3
T=16.0, Entropy = 898.2289104817964, Converged=True, damping=0.3
T=15.5, Entropy = 897.9191505213448, Converged=True, damping=0.3
T=15.0, Entropy = 897.7782781837186, Converged=True, damping=0.3
T=14.5, Entropy = 897.8276672303856, Converged=True, damping=0.3
T=14.0, Entropy = 898.0917159632837, Converged=True, damping=0.3
T=13.5, Entropy = 898.5983950479788, Converged=True, damping=0.3
T=13.0, Entropy = 899.3799249910131, Converged=True, damping=0.3
T=12.5, Entropy = 900.4736227902961, Converged=True, damping=0.3
T=12.0, Entropy = 901.9229722850146, Converged=True, damping=0.3
T=11.5, Entropy = 903.778994586752, Converged=True, damping=0.3
T=11.0, Entropy = 906.1020273378599, Converged=True, damping=0.3
T=10.5, Entropy = 908.9640702906623, Converged=True, damping=0.3
T=10.0, Entropy = 912.4519295172493, Converged=True, damping=0.3
T=9.5, Entropy = 916.6715096805493, Converged=True, damping=0.3
T=9.0, Entropy = 921.7537911656337, Converged=True, damping=0.3
T=8.5, Entropy = 927.8633357329621, Converged=True, damping=0.3
T=8.0, Entropy = 935.2106802436399, Converged=True, damping=0.3
T=7.5, Entropy = 944.0708709310353, Converged=True, damping=0.3
T=7.0, Entropy = 954.8119881553877, Converged=True, damping=0.3
T=6.5, Entropy = 967.9404798481522, Converged=True, damping=0.3
T=6.0, Entropy = 984.1758849797241, Converged=True, damping=0.3
T=5.5, Entropy = 1004.579308251748, Converged=True, damping=0.3
T=5.0, Entropy = 1030.785588933464, Converged=True, damping=0.3
T=4.5, Entropy = 1065.448789394442, Converged=True, damping=0.3
T=4.0, Entropy = 1113.1622146995267, Converged=True, damping=0.3
T=3.5, Entropy = 1182.5398410887074, Converged=True, damping=0.3
T=3.0, Entropy = 1291.4898513210821, Converged=True, damping=0.3
T=2.5, Max_dm=0.3168954184101975, Entropy=1483.8325439941607, Not Converged!
T=2.0, Max_dm=1.424439992291417, Entropy=1857.762559341695, Not Converged!
T=1.5, Max_dm=1.920861457611796, Entropy=2654.4012967332214, Not Converged!
T=1.0, Max_dm=1.9973596084350072, Entropy=6088.798625226477, Not Converged!
T=0.5, Max_dm=1.999949204665354, Entropy=13701.367845032031, Not Converged!
