T=0.1, Entropy = 2808.3909176303227, Converged=True, damping=0.3, density N/V=2.3333333333333335
T=0.2, Entropy = 1404.1954588246435, Converged=True, damping=0.3, density N/V=2.333333332963132
T=0.30000000000000004, Entropy = 936.1303151610161, Converged=True, damping=0.3, density N/V=2.3333329894528245
T=0.4, Entropy = 702.098013202341, Converged=True, damping=0.3, density N/V=2.3333228225816467
T=0.5, Entropy = 559.1316219101311, Converged=True, damping=0.3, density N/V=2.296291212054585
T=0.6, Entropy = 468.0740055808104, Converged=True, damping=0.3, density N/V=2.3330056152317296
T=0.7000000000000001, Entropy = 399.383982460803, Converged=True, damping=0.3, density N/V=2.2961351003951225
T=0.8, Entropy = 349.4700494518191, Converged=True, damping=0.3, density N/V=2.2958191442166105
T=0.9, Entropy = 310.65864318671544, Converged=True, damping=0.3, density N/V=2.295181820045674
T=1.0, Entropy = 280.99218797320566, Converged=True, damping=0.3, density N/V=2.327692043752765
T=1.1, Entropy = 254.25488394834022, Converged=True, damping=0.3, density N/V=2.2924212765663854
T=1.2000000000000002, Entropy = 233.13849632960523, Converged=True, damping=0.3, density N/V=2.290075598118184
T=1.3000000000000003, Entropy = 216.47583987352186, Converged=True, damping=0.3, density N/V=2.3169700674142235
T=1.4000000000000001, Entropy = 200.04373316192383, Converged=True, damping=0.3, density N/V=2.283072114600181
T=1.5000000000000002, Entropy = 186.85706137835, Converged=True, damping=0.3, density N/V=2.278332087283972
T=1.6, Entropy = 175.35656932770883, Converged=True, damping=0.3, density N/V=2.272744804592097
T=1.7000000000000002, Entropy = 165.24836765803968, Converged=True, damping=0.3, density N/V=2.2663137839531875
T=1.8000000000000003, Entropy = 157.34997690648814, Converged=True, damping=0.3, density N/V=2.284576436515853
T=1.9000000000000001, Entropy = 148.34090145243928, Converged=True, damping=0.3, density N/V=2.2509921254010083
T=2.0, Entropy = 142.2297122033861, Converged=True, damping=0.3, density N/V=2.2667466291498193
T=2.1, Entropy = 134.80895308817534, Converged=True, damping=0.3, density N/V=2.2325904571239983
T=2.2, Entropy = 130.01021209553068, Converged=True, damping=0.3, density N/V=2.2464156357834075
T=2.3000000000000003, Entropy = 124.75452972412688, Converged=True, damping=0.3, density N/V=2.235391623581814
T=2.4000000000000004, Entropy = 119.01739371603269, Converged=True, damping=0.3, density N/V=2.1999036896469177
T=2.5000000000000004, Entropy = 114.6701434238515, Converged=True, damping=0.3, density N/V=2.187830434940836
T=2.6, Entropy = 111.62288488429887, Converged=True, damping=0.3, density N/V=2.1993100759292625
T=2.7, Entropy = 107.04746485016426, Converged=True, damping=0.3, density N/V=2.1621952920356073
T=2.8000000000000003, Entropy = 104.59692729561296, Converged=True, damping=0.3, density N/V=2.173118151495668
T=2.9000000000000004, Entropy = 100.60814621220626, Converged=True, damping=0.3, density N/V=2.1348817627600796
T=3.0000000000000004, Entropy = 97.75809650754273, Converged=True, damping=0.3, density N/V=2.120707426038003
T=3.1, Entropy = 95.98191264927333, Converged=True, damping=0.3, density N/V=2.1313651640304543
T=3.2, Entropy = 92.68056221659114, Converged=True, damping=0.3, density N/V=2.0915364504136518
T=3.3000000000000003, Entropy = 90.41468071461648, Converged=True, damping=0.3, density N/V=2.076620337159535
T=3.4000000000000004, Entropy = 88.30879064133015, Converged=True, damping=0.3, density N/V=2.0615346166010546
T=3.5000000000000004, Entropy = 87.15398425647078, Converged=True, damping=0.3, density N/V=2.0725711585246938
T=3.6, Entropy = 85.31394590856837, Converged=True, damping=0.3, density N/V=2.0575325546821954
T=3.7, Entropy = 83.59602092337143, Converged=True, damping=0.3, density N/V=2.0424177127451424
T=3.8000000000000003, Entropy = 81.99009791954327, Converged=True, damping=0.3, density N/V=2.0272541956760475
T=3.9000000000000004, Entropy = 79.73327971831385, Converged=True, damping=0.3, density N/V=1.984748076124077
T=4.0, Entropy = 78.337236269669, Converged=True, damping=0.3, density N/V=1.9693293099857827
T=4.1, Entropy = 77.02821591627617, Converged=True, damping=0.3, density N/V=1.9539510983973918
T=4.2, Entropy = 75.79949040251364, Converged=True, damping=0.3, density N/V=1.9386358442213134
T=4.3, Entropy = 75.35129409989952, Converged=True, damping=0.3, density N/V=1.951572204787378
T=4.3999999999999995, Entropy = 74.25422089427435, Converged=True, damping=0.3, density N/V=1.936615895598444
T=4.5, Entropy = 73.22100607485764, Converged=True, damping=0.3, density N/V=1.9217638601241551
T=4.6, Entropy = 72.24703108195523, Converged=True, damping=0.3, density N/V=1.9070322039643675
T=4.7, Entropy = 71.32807237953561, Converged=True, damping=0.3, density N/V=1.8924356435639023
T=4.8, Entropy = 70.46026181246113, Converged=True, damping=0.3, density N/V=1.87798753895941
T=4.9, Entropy = 69.64005165163549, Converged=True, damping=0.3, density N/V=1.8636999326407189
T=5.0, Entropy = 68.8641836792943, Converged=True, damping=0.3, density N/V=1.8495835935425735
T=5.1, Entropy = 67.50473157054797, Converged=True, damping=0.3, density N/V=1.8064895597528012
T=5.2, Entropy = 66.8177428226495, Converged=True, damping=0.3, density N/V=1.7926730682431309
T=5.3, Entropy = 66.16654468535033, Converged=True, damping=0.3, density N/V=1.7790620510427189
T=5.4, Entropy = 65.54879845286945, Converged=True, damping=0.3, density N/V=1.7656618640813837
T=5.5, Entropy = 64.96234474796442, Converged=True, damping=0.3, density N/V=1.7524769075625388
T=5.6, Entropy = 64.98786230708865, Converged=True, damping=0.3, density N/V=1.7689378699762226
T=5.7, Entropy = 64.45040855101372, Converged=True, damping=0.3, density N/V=1.7562260992221168
T=5.8, Entropy = 63.93891229043903, Converged=True, damping=0.3, density N/V=1.7437324343778382
T=5.9, Entropy = 62.89170530407066, Converged=True, damping=0.3, density N/V=1.7019476851760604
T=6.0, Entropy = 62.9875383946082, Converged=True, damping=0.3, density N/V=1.719406087944076
T=6.1, Entropy = 62.544811493794114, Converged=True, damping=0.3, density N/V=1.7075750734902368
T=6.2, Entropy = 62.122325613760665, Converged=True, damping=0.3, density N/V=1.6959656137492616
T=6.3, Entropy = 61.71889484104814, Converged=True, damping=0.3, density N/V=1.6845771304753099
T=6.4, Entropy = 61.3334153208064, Converged=True, damping=0.3, density N/V=1.6734085757887829
T=6.5, Entropy = 60.444720144784014, Converged=True, damping=0.3, density N/V=1.6328792756372357
T=6.6, Entropy = 60.61226684313064, Converged=True, damping=0.3, density N/V=1.6517250014809852
T=6.7, Entropy = 60.27474528439289, Converged=True, damping=0.3, density N/V=1.6412059624247435
T=6.8, Entropy = 59.449025844357614, Converged=True, damping=0.3, density N/V=1.601314272982401
T=6.9, Entropy = 59.64162983560169, Converged=True, damping=0.3, density N/V=1.6208010821268812
T=7.0, Entropy = 58.85316857055004, Converged=True, damping=0.3, density N/V=1.5813271972356167
T=7.1, Entropy = 59.05947076365075, Converged=True, damping=0.3, density N/V=1.6012212596789215
T=7.2, Entropy = 58.305003350506816, Converged=True, damping=0.3, density N/V=1.5621557946221125
T=7.3, Entropy = 58.52298231957068, Converged=True, damping=0.3, density N/V=1.5824408957720204
T=7.4, Entropy = 57.79961920987404, Converged=True, damping=0.3, density N/V=1.5437723007465853
T=7.5, Entropy = 58.02752799909524, Converged=True, damping=0.3, density N/V=1.5644322728161137
T=7.6, Entropy = 57.33270422662422, Converged=True, damping=0.3, density N/V=1.5261474671012256
T=7.7, Entropy = 57.112468382588276, Converged=True, damping=0.3, density N/V=1.5176101575795495
T=7.8, Entropy = 57.35250002899313, Converged=True, damping=0.3, density N/V=1.5388025012773217
T=7.9, Entropy = 56.6962823825904, Converged=True, damping=0.3, density N/V=1.5010667304295546
T=8.0, Entropy = 56.49954581466557, Converged=True, damping=0.3, density N/V=1.4930529859754162
T=8.1, Entropy = 56.30989444633699, Converged=True, damping=0.3, density N/V=1.4852061531489054
T=8.2, Entropy = 56.126990508689325, Converged=True, damping=0.3, density N/V=1.4775224582253843
T=8.3, Entropy = 55.950515761708566, Converged=True, damping=0.3, density N/V=1.4699981589667368
T=8.4, Entropy = 56.20704789668276, Converged=True, damping=0.3, density N/V=1.4921515212045018
T=8.5, Entropy = 56.03865848659143, Converged=True, damping=0.3, density N/V=1.484930275834209
T=8.6, Entropy = 55.45675056999399, Converged=True, damping=0.3, density N/V=1.448344829480502
