T=0.1, Entropy = 50.17482655652654, Converged=True, damping=0.1, density N/V=9.481481481360825
T=0.2, Entropy = 25.08742755226271, Converged=True, damping=0.1, density N/V=9.481447635141732
T=0.30000000000000004, Entropy = 16.725880961343254, Converged=True, damping=0.1, density N/V=9.479244518891996
T=0.4, Entropy = 12.551409910510486, Converged=True, damping=0.1, density N/V=9.462861363464297
T=0.5, Entropy = 10.06255892692985, Converged=True, damping=0.1, density N/V=9.41330909011426
T=0.6, Entropy = 8.427718992525158, Converged=True, damping=0.1, density N/V=9.316231491947972
T=0.7000000000000001, Entropy = 7.289242817943756, Converged=True, damping=0.1, density N/V=9.166470134605852
T=0.8, Entropy = 6.465958971857615, Converged=True, damping=0.1, density N/V=8.966758718031636
T=0.9, Entropy = 5.855096449475052, Converged=True, damping=0.1, density N/V=8.72436441066141
T=1.0, Entropy = 5.393511975780563, Converged=True, damping=0.1, density N/V=8.447976817567094
T=1.1, Entropy = 5.040138579598732, Converged=True, damping=0.1, density N/V=8.145797613929872
T=1.2000000000000002, Entropy = 4.7671309606937715, Converged=True, damping=0.1, density N/V=7.8247462614233605
T=1.3000000000000003, Entropy = 4.554997300142314, Converged=True, damping=0.1, density N/V=7.490327145810079
T=1.4000000000000001, Entropy = 4.389740591790112, Converged=True, damping=0.1, density N/V=7.146779807480789
T=1.5000000000000002, Entropy = 4.26109426344156, Converged=True, damping=0.1, density N/V=6.7973056555292395
T=1.6, Entropy = 4.161390552002017, Converged=True, damping=0.1, density N/V=6.444284838632056
T=1.7000000000000002, Entropy = 4.08481205756594, Converged=True, damping=0.1, density N/V=6.089456856008517
T=1.8000000000000003, Entropy = 4.026883930457571, Converged=True, damping=0.1, density N/V=5.7340625853169565
T=1.9000000000000001, Entropy = 3.9841217188329336, Converged=True, damping=0.2, density N/V=5.378952985262829
T=2.0, Entropy = 3.952445065582735, Converged=True, damping=0.25, density N/V=5.217500855706122
T=2.1, Entropy = 3.924931594778821, Converged=True, damping=0.15000000000000002, density N/V=5.182831463076139
T=2.2, Entropy = 3.900420275738841, Converged=True, damping=0.15000000000000002, density N/V=5.151612206950814
T=2.3000000000000003, Entropy = 3.8784509748143483, Converged=True, damping=0.1, density N/V=5.123362777639404
T=2.4000000000000004, Entropy = 3.8586520932784336, Converged=True, damping=0.1, density N/V=5.097686404489496
T=2.5000000000000004, Entropy = 3.8407204290875976, Converged=True, damping=0.1, density N/V=5.074252776551325
T=2.6, Entropy = 3.8244062564054433, Converged=True, damping=0.1, density N/V=5.05278491426266
T=2.7, Entropy = 3.8095021209920885, Converged=True, damping=0.1, density N/V=5.03304898475663
T=2.8000000000000003, Entropy = 3.795834321324303, Converged=True, damping=0.1, density N/V=5.014846331038557
T=2.9000000000000004, Entropy = 3.7832563575082725, Converged=True, damping=0.1, density N/V=4.998007181477319
T=3.0000000000000004, Entropy = 3.7716438401986467, Converged=True, damping=0.1, density N/V=4.982385645907514
T=3.1, Entropy = 3.760890495444536, Converged=True, damping=0.1, density N/V=4.967855705213412
T=3.2, Entropy = 3.750905001098344, Converged=True, damping=0.1, density N/V=4.954307974238919
T=3.3000000000000003, Entropy = 3.7416084605588438, Converged=True, damping=0.1, density N/V=4.941647071281752
T=3.4000000000000004, Entropy = 3.732932369577295, Converged=True, damping=0.1, density N/V=4.929789466862303
T=3.5000000000000004, Entropy = 3.7248169678618366, Converged=True, damping=0.1, density N/V=4.918661713811507
T=3.6, Entropy = 3.717209893454445, Converged=True, damping=0.1, density N/V=4.908198982748968
T=3.7, Entropy = 3.7100650771749075, Converged=True, damping=0.1, density N/V=4.898343843679645
T=3.8000000000000003, Entropy = 3.703341828789936, Converged=True, damping=0.1, density N/V=4.889045247127597
T=3.9000000000000004, Entropy = 3.6970040773427058, Converged=True, damping=0.1, density N/V=4.8802576679621
T=4.0, Entropy = 3.6910197362338546, Converged=True, damping=0.1, density N/V=4.87194038259372
T=4.1, Entropy = 3.685360169866892, Converged=True, damping=0.1, density N/V=4.864056856066992
T=4.2, Entropy = 3.679999743454488, Converged=True, damping=0.1, density N/V=4.8565742201534015
T=4.3, Entropy = 3.6749154412864797, Converged=True, damping=0.1, density N/V=4.84946282715115
T=4.3999999999999995, Entropy = 3.6700865416482626, Converged=True, damping=0.1, density N/V=4.842695866950727
T=4.5, Entropy = 3.665494338845288, Converged=True, damping=0.1, density N/V=4.836249037196042
T=4.6, Entropy = 3.6611219045790717, Converged=True, damping=0.1, density N/V=4.830100258188309
T=4.7, Entropy = 3.656953882342191, Converged=True, damping=0.1, density N/V=4.8242294256414935
T=4.8, Entropy = 3.6529763096352914, Converged=True, damping=0.1, density N/V=4.818618195579722
T=4.9, Entropy = 3.649176463721508, Converged=True, damping=0.1, density N/V=4.81324979662637
