T=5.900000000000032, Entropy = 62.89170530407, Converged=True, damping=0
T=5.800000000000033, Entropy = 63.37151520640467, Converged=True, damping=0
T=5.700000000000033, Entropy = 64.45040855101317, Converged=True, damping=0
T=5.600000000000033, Entropy = 64.40518777745429, Converged=True, damping=0
T=5.500000000000034, Entropy = 64.96234474796472, Converged=True, damping=0
T=5.400000000000034, Entropy = 65.54879845286854, Converged=True, damping=0
T=5.3000000000000345, Entropy = 66.16654468535026, Converged=True, damping=0
T=5.200000000000035, Entropy = 66.8177428226498, Converged=True, damping=0
T=5.100000000000035, Entropy = 67.50473157054802, Converged=True, damping=0
T=5.0000000000000355, Entropy = 68.86418367929448, Converged=True, damping=0
T=4.900000000000036, Entropy = 69.64005165163468, Converged=True, damping=0
T=4.800000000000036, Entropy = 70.46026181246113, Converged=True, damping=0
T=4.700000000000037, Entropy = 70.66468479327321, Converged=True, damping=0
T=4.600000000000037, Entropy = 71.5733338572576, Converged=True, damping=0
T=4.500000000000037, Entropy = 73.22100607485889, Converged=True, damping=0
T=4.400000000000038, Entropy = 73.55904708998564, Converged=True, damping=0
T=4.300000000000038, Entropy = 74.64495230971622, Converged=True, damping=0
T=4.200000000000038, Entropy = 76.51728437702515, Converged=True, damping=0
T=4.100000000000039, Entropy = 77.02821591627558, Converged=True, damping=0
T=4.000000000000039, Entropy = 79.07876789913246, Converged=True, damping=0
T=3.9000000000000394, Entropy = 80.48708125603692, Converged=True, damping=0
T=3.80000000000004, Entropy = 81.99009791954215, Converged=True, damping=0
T=3.70000000000004, Entropy = 83.59602092337096, Converged=True, damping=0
T=3.6000000000000405, Entropy = 84.52187795880076, Converged=True, damping=0
T=3.500000000000041, Entropy = 87.15398425646957, Converged=True, damping=0
T=3.400000000000041, Entropy = 89.12740758430058, Converged=True, damping=0
T=3.3000000000000416, Entropy = 91.24681811586514, Converged=True, damping=0
T=3.200000000000042, Entropy = 92.6805622165909, Converged=True, damping=0
T=3.1000000000000423, Entropy = 95.12236915453569, Converged=True, damping=0
T=3.0000000000000426, Entropy = 98.63147316828076, Converged=True, damping=0
T=2.900000000000043, Entropy = 101.49540922904643, Converged=True, damping=0
T=2.8000000000000433, Entropy = 103.69574667025238, Converged=True, damping=0
T=2.7000000000000437, Entropy = 107.0474648501647, Converged=True, damping=0
T=2.600000000000044, Entropy = 110.69383593038933, Converged=True, damping=0
T=2.5000000000000444, Entropy = 114.67014342384536, Converged=True, damping=0
T=2.4000000000000448, Entropy = 119.97435110100143, Converged=True, damping=0
T=2.300000000000045, Entropy = 124.75452972412475, Converged=True, damping=0
T=2.2000000000000455, Entropy = 129.0250661732466, Converged=True, damping=0
T=2.100000000000046, Entropy = 134.80895308817395, Converged=True, damping=0
T=2.000000000000046, Entropy = 141.2153323623498, Converged=True, damping=0
T=1.9000000000000465, Entropy = 149.3707913203259, Converged=True, damping=0
T=1.800000000000047, Entropy = 157.3499769064841, Converged=True, damping=0
T=1.7000000000000473, Entropy = 165.24836765804204, Converged=True, damping=0
T=1.6000000000000476, Entropy = 175.35656932770456, Converged=True, damping=0
T=1.500000000000048, Entropy = 187.9664993684054, Converged=True, damping=0
T=1.4000000000000483, Entropy = 200.04373316192212, Converged=True, damping=0
T=1.3000000000000487, Entropy = 215.3004281984441, Converged=True, damping=0
T=1.200000000000049, Entropy = 233.13849632959034, Converged=True, damping=0
T=1.1000000000000494, Entropy = 255.5393437801042, Converged=True, damping=0
T=1.0000000000000497, Entropy = 279.62515698794994, Converged=True, damping=0
T=0.9000000000000501, Entropy = 312.1370796834003, Converged=True, damping=0
T=0.8000000000000504, Entropy = 349.4700494518011, Converged=True, damping=0
T=0.7000000000000508, Entropy = 401.2227122234624, Converged=True, damping=0.001
T=0.6000000000000512, Entropy = 468.0740055807894, Converged=True, damping=0.001
T=0.5000000000000515, Entropy = 559.131621910065, Converged=True, damping=0.001
T=0.40000000000005187, Entropy = 698.9143625040655, Converged=True, damping=0.001
T=0.3000000000000522, Entropy = 936.1303151608453, Converged=True, damping=0.001
T=0.20000000000005258, Entropy = 1397.8287115975377, Converged=True, damping=0.001
