T=0.1, Entropy = 218.66230583493285, Damping=0
T=0.2, Entropy = 109.34800467095549, Damping=0
T=0.30000000000000004, Entropy = 73.03206334875225, Damping=0
T=0.4, Entropy = 55.1107404395296, Damping=0
T=0.5, Entropy = 44.63343926654957, Damping=0
T=0.6, Entropy = 37.91444553924468, Damping=0
T=0.7000000000000001, Entropy = 33.352178934544156, Damping=0
T=0.8, Entropy = 30.13244646877864, Damping=0
T=0.9, Entropy = 27.795006308289977, Damping=0
T=1.0, Entropy = 26.059716880253127, Damping=0
T=1.1, Entropy = 24.746928922183088, Damping=0
T=1.2000000000000002, Entropy = 23.73706211183426, Damping=0
T=1.3000000000000003, Entropy = 22.948320268743526, Damping=0
T=1.4000000000000001, Entropy = 22.323574128182766, Damping=0
T=1.5000000000000002, Entropy = 21.82223766445654, Damping=0
T=1.6, Entropy = 21.41504505935962, Damping=0
T=1.7000000000000002, Entropy = 21.08060200110295, Damping=0
T=1.8000000000000003, Entropy = 20.803064197949883, Damping=0
T=1.9000000000000001, Entropy = 20.5705509801307, Damping=0
T=2.0, Entropy = 20.374047158133102, Damping=0
T=2.1, Entropy = 20.20663376365152, Damping=0
T=2.2, Entropy = 20.062942974568024, Damping=0
T=2.3000000000000003, Entropy = 19.93876754828951, Damping=0
T=2.4000000000000004, Entropy = 19.830777885592223, Damping=0
T=2.5000000000000004, Entropy = 19.736314863525045, Damping=0
T=2.6, Entropy = 19.653236565964868, Damping=0
T=2.7, Entropy = 19.579803748851976, Damping=0
T=2.8000000000000003, Entropy = 19.514593423647838, Damping=0
T=2.9000000000000004, Entropy = 19.45643305259541, Damping=0
T=3.0000000000000004, Entropy = 19.40434999675233, Damping=0
T=3.1, Entropy = 19.357532354410328, Damping=0
T=3.2, Entropy = 19.315298380364457, Damping=0
T=3.3000000000000003, Entropy = 19.277072423961734, Damping=0
T=3.4000000000000004, Entropy = 19.242365859318788, Damping=0
T=3.5000000000000004, Entropy = 19.210761868051414, Damping=0
T=3.6, Entropy = 19.18190321688901, Damping=0
T=3.7, Entropy = 19.15548237979935, Damping=0
T=3.8000000000000003, Entropy = 19.131233507769316, Damping=0
T=3.9000000000000004, Entropy = 19.108925863975454, Damping=0
T=4.0, Entropy = 19.088358428247485, Damping=0
T=4.1, Entropy = 19.06935543998038, Damping=0
T=4.2, Entropy = 19.051762698404676, Damping=0
T=4.3, Entropy = 19.035444477310765, Damping=0
T=4.3999999999999995, Entropy = 19.0202809408122, Damping=0
T=4.5, Entropy = 19.0061659696483, Damping=0
T=4.6, Entropy = 18.99300532543099, Damping=0
T=4.7, Entropy = 18.980715094313684, Damping=0
T=4.8, Entropy = 18.969220362675927, Damping=0
T=4.9, Entropy = 18.95845408624782, Damping=0
