T=0.1, Entropy = 152.75849660209775, Converged=True, damping=0.3, density N/V=6.01051840721262
T=0.2, Entropy = 76.37924834181682, Converged=True, damping=0.3, density N/V=6.010518376583018
T=0.30000000000000004, Entropy = 50.91952256075212, Converged=True, damping=0.3, density N/V=6.010500603910047
T=0.4, Entropy = 38.190195935695016, Converged=True, damping=0.3, density N/V=6.010088293040854
T=0.5, Entropy = 30.55557234604173, Converged=True, damping=0.3, density N/V=6.007594622930683
T=0.6, Entropy = 25.473675611583513, Converged=True, damping=0.3, density N/V=5.999933766630434
T=0.7000000000000001, Entropy = 21.857548818621638, Converged=True, damping=0.3, density N/V=5.983727854206159
T=0.8, Entropy = 19.164651337107948, Converged=True, damping=0.3, density N/V=5.956281629281767
T=0.9, Entropy = 17.093352219006395, Converged=True, damping=0.3, density N/V=5.915987481457484
T=1.0, Entropy = 15.46184092454822, Converged=True, damping=0.3, density N/V=5.862370875803659
T=1.1, Entropy = 14.153362703280884, Converged=True, damping=0.3, density N/V=5.795976080500242
T=1.2000000000000002, Entropy = 13.089023179835186, Converged=True, damping=0.3, density N/V=5.718178592644713
T=1.3000000000000003, Entropy = 12.213262572510962, Converged=True, damping=0.3, density N/V=5.6309557392502185
T=1.4000000000000001, Entropy = 11.485626321033623, Converged=True, damping=0.3, density N/V=5.536636591770407
T=1.5000000000000002, Entropy = 10.87586551475815, Converged=True, damping=0.3, density N/V=5.437656966272462
T=1.6, Entropy = 10.36088836888225, Converged=True, damping=0.3, density N/V=5.336347516384365
T=1.7000000000000002, Entropy = 9.922783972827197, Converged=True, damping=0.3, density N/V=5.234776782216029
T=1.8000000000000003, Entropy = 9.547490232552741, Converged=True, damping=0.3, density N/V=5.134658507700962
T=1.9000000000000001, Entropy = 9.223862861092528, Converged=True, damping=0.3, density N/V=5.037319134868445
T=2.0, Entropy = 8.943003546166365, Converged=True, damping=0.3, density N/V=4.943711997462679
T=2.1, Entropy = 8.697762274448001, Converged=True, damping=0.3, density N/V=4.854461206504008
T=2.2, Entropy = 8.482361223457874, Converged=True, damping=0.3, density N/V=4.769919554672451
T=2.3000000000000003, Entropy = 8.292106412513204, Converged=True, damping=0.3, density N/V=4.690228714809273
T=2.4000000000000004, Entropy = 8.12316442027864, Converged=True, damping=0.3, density N/V=4.615374463076576
T=2.5000000000000004, Entropy = 7.972388283336531, Converged=True, damping=0.3, density N/V=4.545233404547869
T=2.6, Entropy = 7.837181052452799, Converged=True, damping=0.3, density N/V=4.47961027235911
T=2.7, Entropy = 7.715388423734371, Converged=True, damping=0.3, density N/V=4.4182663700075
T=2.8000000000000003, Entropy = 7.605213938610695, Converged=True, damping=0.3, density N/V=4.360940439021141
T=2.9000000000000004, Entropy = 7.505151767554631, Converged=True, damping=0.3, density N/V=4.3073634273801265
T=3.0000000000000004, Entropy = 7.413933234082759, Converged=True, damping=0.3, density N/V=4.257268556498483
T=3.1, Entropy = 7.3304841051012195, Converged=True, damping=0.3, density N/V=4.210397880558314
T=3.2, Entropy = 7.253890341155369, Converged=True, damping=0.3, density N/V=4.166506307458005
T=3.3000000000000003, Entropy = 7.183370514493852, Converged=True, damping=0.3, density N/V=4.125363815235106
T=3.4000000000000004, Entropy = 7.11825349989763, Converged=True, damping=0.3, density N/V=4.0867564305260835
T=3.5000000000000004, Entropy = 7.057960349996867, Converged=True, damping=0.3, density N/V=4.050486375241363
T=3.6, Entropy = 7.0019895040223705, Converged=True, damping=0.3, density N/V=4.016371670385771
T=3.7, Entropy = 6.949904662581532, Converged=True, damping=0.3, density N/V=3.984245410245914
T=3.8000000000000003, Entropy = 6.90132480342584, Converged=True, damping=0.3, density N/V=3.9539548471807584
T=3.9000000000000004, Entropy = 6.855915923775258, Converged=True, damping=0.3, density N/V=3.925360385808517
T=4.0, Entropy = 6.81338418088128, Converged=True, damping=0.3, density N/V=3.898334551637384
T=4.1, Entropy = 6.773470169747663, Converged=True, damping=0.3, density N/V=3.872760976202118
T=4.2, Entropy = 6.735944129585044, Converged=True, damping=0.3, density N/V=3.8485334261446487
T=4.3, Entropy = 6.700601911951363, Converged=True, damping=0.3, density N/V=3.8255548891772433
T=4.3999999999999995, Entropy = 6.6672615761536544, Converged=True, damping=0.3, density N/V=3.8037367250201584
T=4.5, Entropy = 6.6357605033045965, Converged=True, damping=0.3, density N/V=3.782997885704839
T=4.6, Entropy = 6.605952940934294, Converged=True, damping=0.3, density N/V=3.7632642017110154
T=4.7, Entropy = 6.5777079064091275, Converged=True, damping=0.3, density N/V=3.7444677352407614
T=4.8, Entropy = 6.5509073904966755, Converged=True, damping=0.3, density N/V=3.7265461916554936
T=4.9, Entropy = 6.525444812930868, Converged=True, damping=0.3, density N/V=3.7094423894043906
