T=10.0, Entropy = 460.9141797570679, Converged=True, damping=0
T=9.9, Entropy = 462.4309028746143, Converged=True, damping=0
T=9.8, Entropy = 463.99149102805615, Converged=True, damping=0
T=9.700000000000001, Entropy = 465.59769266575717, Converged=True, damping=0
T=9.600000000000001, Entropy = 467.2513428889684, Converged=True, damping=0
T=9.500000000000002, Entropy = 468.95436846138017, Converged=True, damping=0
T=9.400000000000002, Entropy = 470.7087931438713, Converged=True, damping=0
T=9.300000000000002, Entropy = 472.5167433784046, Converged=True, damping=0
T=9.200000000000003, Entropy = 474.38045434548064, Converged=True, damping=0
T=9.100000000000003, Entropy = 476.30227642272536, Converged=True, damping=0
T=9.000000000000004, Entropy = 478.28468207335993, Converged=True, damping=0
T=8.900000000000004, Entropy = 480.3302731964643, Converged=True, damping=0
T=8.800000000000004, Entropy = 482.4417889728525, Converged=True, damping=0
T=8.700000000000005, Entropy = 484.6221142437317, Converged=True, damping=0
T=8.600000000000005, Entropy = 486.87428846205216, Converged=True, damping=0
T=8.500000000000005, Entropy = 489.2015152601089, Converged=True, damping=0
T=8.400000000000006, Entropy = 491.6071726804476, Converged=True, damping=0
T=8.300000000000006, Entropy = 494.0948241214322, Converged=True, damping=0
T=8.200000000000006, Entropy = 496.66823005349573, Converged=True, damping=0
T=8.100000000000007, Entropy = 499.3313605665641, Converged=True, damping=0
T=8.000000000000007, Entropy = 502.0884088162943, Converged=True, damping=0
T=7.9000000000000075, Entropy = 504.94380544028934, Converged=True, damping=0
T=7.800000000000008, Entropy = 507.90223402576726, Converged=True, damping=0
T=7.700000000000008, Entropy = 510.96864771502044, Converged=True, damping=0
T=7.6000000000000085, Entropy = 514.1482870454918, Converged=True, damping=0
T=7.500000000000009, Entropy = 517.4466991307722, Converged=True, damping=0
T=7.400000000000009, Entropy = 520.8697582987952, Converged=True, damping=0
T=7.30000000000001, Entropy = 524.4236883168775, Converged=True, damping=0
T=7.20000000000001, Entropy = 528.1150863476636, Converged=True, damping=0
T=7.10000000000001, Entropy = 531.950948793918, Converged=True, damping=0
T=7.000000000000011, Entropy = 535.9386992096988, Converged=True, damping=0
T=6.900000000000011, Entropy = 540.0862184746933, Converged=True, damping=0
T=6.800000000000011, Entropy = 544.4018774521751, Converged=True, damping=0
T=6.700000000000012, Entropy = 548.8945723760379, Converged=True, damping=0
T=6.600000000000012, Entropy = 553.5737632429527, Converged=True, damping=0
T=6.500000000000012, Entropy = 558.4495155195145, Converged=True, damping=0
T=6.400000000000013, Entropy = 563.5325455125989, Converged=True, damping=0
T=6.300000000000013, Entropy = 568.8342697952532, Converged=True, damping=0
T=6.2000000000000135, Entropy = 574.3668591323504, Converged=True, damping=0
