T=0.1, Entropy = 379.1499165652007, Converged=True, damping=0.1, density N/V=4.148148148148148
T=0.2, Entropy = 189.57495830757372, Converged=True, damping=0.1, density N/V=4.148148140748832
T=0.30000000000000004, Entropy = 126.38332260924159, Converged=True, damping=0.1, density N/V=4.148143085154538
T=0.4, Entropy = 94.78792620210083, Converged=True, damping=0.1, density N/V=4.14801567434325
T=0.5, Entropy = 73.28360154916237, Converged=True, damping=0.1, density N/V=3.851757865843974
T=0.6, Entropy = 61.07124269545656, Converged=True, damping=0.1, density N/V=3.8513064030195387
T=0.7000000000000001, Entropy = 52.35166493617763, Converged=True, damping=0.1, density N/V=3.84993204539382
T=0.8, Entropy = 45.81866329323355, Converged=True, damping=0.1, density N/V=3.846902861848438
T=0.9, Entropy = 40.747617791207574, Converged=True, damping=0.1, density N/V=3.8414774619619245
T=1.0, Entropy = 38.07866400828713, Converged=True, damping=0.1, density N/V=4.099399362615324
T=1.1, Entropy = 34.70405804040861, Converged=True, damping=0.1, density N/V=4.077811975517708
T=1.2000000000000002, Entropy = 31.916470163176555, Converged=True, damping=0.1, density N/V=4.052425405481169
T=1.3000000000000003, Entropy = 29.582059769952725, Converged=True, damping=0.1, density N/V=4.023598679768627
T=1.4000000000000001, Entropy = 27.60478172879792, Converged=True, damping=0.1, density N/V=3.991713343314037
T=1.5000000000000002, Entropy = 25.913853361183268, Converged=True, damping=0.1, density N/V=3.9571475872331927
T=1.6, Entropy = 24.455913961462887, Converged=True, damping=0.1, density N/V=3.920263274503197
T=1.7000000000000002, Entropy = 23.189943768252625, Converged=True, damping=0.1, density N/V=3.8814003274506863
T=1.8000000000000003, Entropy = 22.083870227451143, Converged=True, damping=0.1, density N/V=3.8408748633541503
T=1.9000000000000001, Entropy = 20.09405219014698, Converged=True, damping=0.1, density N/V=3.594040652296516
T=2.0, Entropy = 19.256000398119987, Converged=True, damping=0.1, density N/V=3.5521126059346986
T=2.1, Entropy = 19.49427915812877, Converged=True, damping=0.1, density N/V=3.7121281408952114
T=2.2, Entropy = 17.85743859462619, Converged=True, damping=0.1, density N/V=3.4625592805367487
T=2.3000000000000003, Entropy = 17.272307951225738, Converged=True, damping=0.1, density N/V=3.415575142666543
T=2.4000000000000004, Entropy = 17.671775930640095, Converged=True, damping=0.1, density N/V=3.5775724331450585
T=2.5000000000000004, Entropy = 16.283001556387543, Converged=True, damping=0.1, density N/V=3.3187245364028533
T=2.6, Entropy = 15.864095196516711, Converged=True, damping=0.1, density N/V=3.2694310310835584
T=2.7, Entropy = 15.487623267167063, Converged=True, damping=0.1, density N/V=3.2199121288250607
T=2.8000000000000003, Entropy = 15.148587283821758, Converged=True, damping=0.1, density N/V=3.1704076090538997
T=2.9000000000000004, Entropy = 14.842663914848437, Converged=True, damping=0.1, density N/V=3.1211343404390477
T=3.0000000000000004, Entropy = 14.566099255761264, Converged=True, damping=0.1, density N/V=3.0722846037498908
T=3.1, Entropy = 14.315622840189548, Converged=True, damping=0.1, density N/V=3.024025074074434
T=3.2, Entropy = 14.088377044013615, Converged=True, damping=0.1, density N/V=2.9764965390281066
T=3.3000000000000003, Entropy = 14.626117686245028, Converged=True, damping=0.1, density N/V=3.1823531551521196
T=3.4000000000000004, Entropy = 14.419039504377714, Converged=True, damping=0.1, density N/V=3.141413992843081
T=3.5000000000000004, Entropy = 14.228872325984351, Converged=True, damping=0.1, density N/V=3.1012959162536706
T=3.6, Entropy = 14.053945003817947, Converged=True, damping=0.1, density N/V=3.0620341012001897
T=3.7, Entropy = 13.222863093411657, Converged=True, damping=0.1, density N/V=2.7530416459626594
T=3.8000000000000003, Entropy = 13.091807303838346, Converged=True, damping=0.1, density N/V=2.711534268352471
T=3.9000000000000004, Entropy = 13.606617809321797, Converged=True, damping=0.1, density N/V=2.949634084132507
T=4.0, Entropy = 13.479415639659388, Converged=True, damping=0.1, density N/V=2.9140145177341132
T=4.1, Entropy = 13.361521904319769, Converged=True, damping=0.1, density N/V=2.879331086742445
T=4.2, Entropy = 13.252104538109608, Converged=True, damping=0.1, density N/V=2.8455844218924455
T=4.3, Entropy = 12.580482302772237, Converged=True, damping=0.1, density N/V=2.52002510185683
T=4.3999999999999995, Entropy = 13.055791233848018, Converged=True, damping=0.1, density N/V=2.7808849315193176
T=4.5, Entropy = 12.427936681374037, Converged=True, damping=0.1, density N/V=2.450303382199179
T=4.6, Entropy = 12.360293523574208, Converged=True, damping=0.1, density N/V=2.4167269294238642
T=4.7, Entropy = 12.80854125900869, Converged=True, damping=0.1, density N/V=2.6906786260430753
T=4.8, Entropy = 12.736695388392123, Converged=True, damping=0.1, density N/V=2.6623803426249815
T=4.9, Entropy = 12.669431127595765, Converged=True, damping=0.1, density N/V=2.634939580910832
