T=11.600000000000009, Entropy = 270.3940817407319, Converged=True, damping=0.3
T=11.700000000000008, Entropy = 270.2260073874289, Converged=True, damping=0.3
T=11.800000000000008, Entropy = 270.0625069927959, Converged=True, damping=0.3
T=11.900000000000007, Entropy = 269.9034691394651, Converged=True, damping=0.3
T=12.000000000000007, Entropy = 269.74878629504786, Converged=True, damping=0.3
T=12.100000000000009, Entropy = 269.5983546283622, Converged=True, damping=0.3
T=12.200000000000008, Entropy = 269.4520738363352, Converged=True, damping=0.3
T=12.300000000000008, Entropy = 269.30984698049014, Converged=True, damping=0.3
T=12.40000000000001, Entropy = 269.17158033310307, Converged=True, damping=0.3
T=12.500000000000009, Entropy = 269.0371832317152, Converged=True, damping=0.3
T=12.600000000000009, Entropy = 268.9065679418662, Converged=True, damping=0.3
T=12.700000000000008, Entropy = 268.7796495272362, Converged=True, damping=0.3
T=12.800000000000008, Entropy = 268.6563457271411, Converged=True, damping=0.3
T=12.90000000000001, Entropy = 268.5365768403851, Converged=True, damping=0.3
T=13.000000000000009, Entropy = 268.4202656156872, Converged=True, damping=0.3
T=13.100000000000009, Entropy = 268.3073371475738, Converged=True, damping=0.3
T=13.20000000000001, Entropy = 268.19771877811064, Converged=True, damping=0.3
T=13.30000000000001, Entropy = 268.0913400035548, Converged=True, damping=0.3
T=13.40000000000001, Entropy = 267.98813238600866, Converged=True, damping=0.3
T=13.500000000000009, Entropy = 267.8880294695511, Converged=True, damping=0.3
T=13.600000000000009, Entropy = 267.79096670052866, Converged=True, damping=0.3
T=13.70000000000001, Entropy = 267.6968813522255, Converged=True, damping=0.3
T=13.80000000000001, Entropy = 267.60571245296575, Converged=True, damping=0.3
T=13.90000000000001, Entropy = 267.51740071793483, Converged=True, damping=0.3
T=14.00000000000001, Entropy = 267.43188848445106, Converged=True, damping=0.3
T=14.10000000000001, Entropy = 267.34911965014965, Converged=True, damping=0.3
T=14.20000000000001, Entropy = 267.2690396144881, Converged=True, damping=0.3
T=14.30000000000001, Entropy = 267.19159522282627, Converged=True, damping=0.3
T=14.40000000000001, Entropy = 267.11673471319017, Converged=True, damping=0.3
T=14.50000000000001, Entropy = 267.0444076657063, Converged=True, damping=0.3
T=14.60000000000001, Entropy = 266.97456495424797, Converged=True, damping=0.3
T=14.70000000000001, Entropy = 266.90715870030846, Converged=True, damping=0.3
T=14.800000000000011, Entropy = 266.84214222918945, Converged=True, damping=0.3
T=14.900000000000011, Entropy = 266.7794700278988, Converged=True, damping=0.3
T=15.00000000000001, Entropy = 266.7190977052869, Converged=True, damping=0.3
T=15.10000000000001, Entropy = 266.66098195363503, Converged=True, damping=0.3
T=15.20000000000001, Entropy = 266.6050805121675, Converged=True, damping=0.3
T=15.300000000000011, Entropy = 266.55135213206194, Converged=True, damping=0.3
T=15.400000000000011, Entropy = 266.49975654308116, Converged=True, damping=0.3
T=15.50000000000001, Entropy = 266.45025442153667, Converged=True, damping=0.3
T=15.600000000000012, Entropy = 266.40280735967804, Converged=True, damping=0.3
T=15.700000000000012, Entropy = 266.35737783632163, Converged=True, damping=0.3
T=15.800000000000011, Entropy = 266.3139291888972, Converged=True, damping=0.3
T=15.900000000000011, Entropy = 266.2724255864116, Converged=True, damping=0.3
T=16.00000000000001, Entropy = 266.2328320036546, Converged=True, damping=0.3
T=16.100000000000012, Entropy = 266.19511419647216, Converged=True, damping=0.3
T=16.20000000000001, Entropy = 266.159238678037, Converged=True, damping=0.3
T=16.30000000000001, Entropy = 266.1251726958905, Converged=True, damping=0.3
T=16.400000000000013, Entropy = 266.09288421033216, Converged=True, damping=0.3
T=16.500000000000014, Entropy = 266.06234187317705, Converged=True, damping=0.3
T=16.600000000000012, Entropy = 266.0335150075104, Converged=True, damping=0.3
T=16.70000000000001, Entropy = 266.0063735884754, Converged=True, damping=0.3
T=16.80000000000001, Entropy = 265.98088822434926, Converged=True, damping=0.3
T=16.900000000000013, Entropy = 265.95703013877517, Converged=True, damping=0.3
T=17.000000000000014, Entropy = 265.93477115328346, Converged=True, damping=0.3
T=17.100000000000012, Entropy = 265.91408367074854, Converged=True, damping=0.3
T=17.200000000000014, Entropy = 265.8949406593499, Converged=True, damping=0.3
T=17.30000000000001, Entropy = 265.87731563704534, Converged=True, damping=0.3
T=17.400000000000013, Entropy = 265.8611826567821, Converged=True, damping=0.3
T=17.500000000000014, Entropy = 265.8465162920043, Converged=True, damping=0.3
T=17.600000000000012, Entropy = 265.833291622975, Converged=True, damping=0.3
T=17.700000000000014, Entropy = 265.82148422326486, Converged=True, damping=0.3
T=17.80000000000001, Entropy = 265.81107014689616, Converged=True, damping=0.3
T=17.900000000000013, Entropy = 265.8020259160591, Converged=True, damping=0.3
T=18.000000000000014, Entropy = 265.7943285088314, Converged=True, damping=0.3
T=18.100000000000016, Entropy = 265.78795534773366, Converged=True, damping=0.3
T=18.200000000000014, Entropy = 265.7828842885712, Converged=True, damping=0.3
T=18.30000000000001, Entropy = 265.7790936093294, Converged=True, damping=0.3
T=18.400000000000013, Entropy = 265.77656200002684, Converged=True, damping=0.3
T=18.500000000000014, Entropy = 265.7752685523186, Converged=True, damping=0.3
T=18.600000000000016, Entropy = 265.77519274976606, Converged=True, damping=0.3
T=18.700000000000014, Entropy = 265.77631445846316, Converged=True, damping=0.3
T=18.800000000000015, Entropy = 265.778613917565, Converged=True, damping=0.3
T=18.900000000000013, Entropy = 265.7820717307136, Converged=True, damping=0.3
T=19.000000000000014, Entropy = 265.78666885721316, Converged=True, damping=0.3
T=19.100000000000016, Entropy = 265.79238660371396, Converged=True, damping=0.3
T=19.200000000000014, Entropy = 265.7992066161157, Converged=True, damping=0.3
T=19.300000000000015, Entropy = 265.80711087181083, Converged=True, damping=0.3
T=19.400000000000013, Entropy = 265.81608167191246, Converged=True, damping=0.3
T=19.500000000000014, Entropy = 265.8261016340528, Converged=True, damping=0.3
T=19.600000000000016, Entropy = 265.8371536850674, Converged=True, damping=0.3
T=19.700000000000014, Entropy = 265.8492210541495, Converged=True, damping=0.3
T=19.800000000000015, Entropy = 265.8622872661038, Converged=True, damping=0.3
T=19.900000000000016, Entropy = 265.87633613469296, Converged=True, damping=0.3
T=20.0, Entropy = 265.89135175637244, Converged=True, damping=0.3
T=20.1, Entropy = 265.90731850411703, Converged=True, damping=0.3
T=20.200000000000003, Entropy = 265.924221021382, Converged=True, damping=0.3
T=20.300000000000004, Entropy = 265.94204421628575, Converged=True, damping=0.3
T=20.400000000000006, Entropy = 265.96077325589806, Converged=True, damping=0.3
T=20.500000000000007, Entropy = 265.980393560778, Converged=True, damping=0.3
T=20.60000000000001, Entropy = 266.00089079963146, Converged=True, damping=0.3
T=20.70000000000001, Entropy = 266.0222508840138, Converged=True, damping=0.3
T=20.80000000000001, Entropy = 266.0444599632959, Converged=True, damping=0.3
T=20.900000000000013, Entropy = 266.0675044197616, Converged=True, damping=0.3
T=21.000000000000014, Entropy = 266.09137086370987, Converged=True, damping=0.3
T=21.100000000000016, Entropy = 266.11604612892825, Converged=True, damping=0.3
T=21.200000000000017, Entropy = 266.14151726789623, Converged=True, damping=0.3
T=21.30000000000002, Entropy = 266.16777154763577, Converged=True, damping=0.3
T=21.40000000000002, Entropy = 266.194796445164, Converged=True, damping=0.3
T=21.50000000000002, Entropy = 266.22257964337524, Converged=True, damping=0.3
T=21.600000000000023, Entropy = 266.2511090268923, Converged=True, damping=0.3
T=21.700000000000024, Entropy = 266.28037267809754, Converged=True, damping=0.3
T=21.800000000000026, Entropy = 266.310358873267, Converged=True, damping=0.3
T=21.900000000000027, Entropy = 266.3410560786618, Converged=True, damping=0.3
T=22.00000000000003, Entropy = 266.3724529469366, Converged=True, damping=0.3
T=22.10000000000003, Entropy = 266.40453831340767, Converged=True, damping=0.3
T=22.20000000000003, Entropy = 266.43730119259834, Converged=True, damping=0.3
T=22.300000000000033, Entropy = 266.47073077484913, Converged=True, damping=0.3
T=22.400000000000034, Entropy = 266.50481642278544, Converged=True, damping=0.3
T=22.500000000000036, Entropy = 266.53954766810904, Converged=True, damping=0.3
T=22.600000000000037, Entropy = 266.5749142085621, Converged=True, damping=0.3
T=22.70000000000004, Entropy = 266.6109059045437, Converged=True, damping=0.3
T=22.80000000000004, Entropy = 266.6475127762255, Converged=True, damping=0.3
T=22.90000000000004, Entropy = 266.68472500049415, Converged=True, damping=0.3
T=23.000000000000043, Entropy = 266.72253290804974, Converged=True, damping=0.3
T=23.100000000000044, Entropy = 266.7609269805975, Converged=True, damping=0.3
T=23.200000000000045, Entropy = 266.79989784804735, Converged=True, damping=0.3
T=23.300000000000047, Entropy = 266.83943628575145, Converged=True, damping=0.3
T=23.40000000000005, Entropy = 266.8795332119212, Converged=True, damping=0.3
T=23.50000000000005, Entropy = 266.9201796849812, Converged=True, damping=0.3
T=23.60000000000005, Entropy = 266.96136690102367, Converged=True, damping=0.3
T=23.700000000000053, Entropy = 267.0030861914345, Converged=True, damping=0.3
T=23.800000000000054, Entropy = 267.04532902027466, Converged=True, damping=0.3
T=23.900000000000055, Entropy = 267.08808698206644, Converged=True, damping=0.3
T=24.000000000000057, Entropy = 267.1313517994748, Converged=True, damping=0.3
T=24.10000000000006, Entropy = 267.17511532087804, Converged=True, damping=0.3
T=24.20000000000006, Entropy = 267.21936951828434, Converged=True, damping=0.3
T=24.30000000000006, Entropy = 267.26410648525, Converged=True, damping=0.3
T=24.400000000000063, Entropy = 267.30931843436576, Converged=True, damping=0.3
T=24.500000000000064, Entropy = 267.3549976957303, Converged=True, damping=0.3
T=24.600000000000065, Entropy = 267.4011367144047, Converged=True, damping=0.3
