T=0.2, Entropy = 364.9982666094297, Converged=True, Max dm = 5.13328866681706e-06, damping=0.4, BP density N/V=1.3061079105573254, chemical potential=0
T=0.30000000000000004, Entropy = 243.36371298298747, Converged=True, Max dm = 5.995212087661628e-06, damping=0.4, BP density N/V=1.3054668602526585, chemical potential=0
T=0.4000000000000001, Entropy = 182.71529587253363, Converged=True, Max dm = 4.685315144137281e-06, damping=0.4, BP density N/V=1.3016403027044419, chemical potential=0
T=0.5000000000000001, Entropy = 146.68776675809093, Converged=True, Max dm = 8.276246004589732e-06, damping=0.4, BP density N/V=1.2916208592736125, chemical potential=0
T=0.6000000000000001, Entropy = 123.16676046576512, Converged=True, Max dm = 5.920173951880214e-06, damping=0.4, BP density N/V=1.273909130981073, chemical potential=0
T=0.7000000000000002, Entropy = 106.91299389726653, Converged=True, Max dm = 9.039047464923233e-06, damping=0.4, BP density N/V=1.2487215532908928, chemical potential=0
T=0.8000000000000003, Entropy = 95.25161666943332, Converged=True, Max dm = 6.000201484432366e-06, damping=0.4, BP density N/V=1.2175445664625757, chemical potential=0
T=0.9000000000000001, Entropy = 86.65228596079531, Converged=True, Max dm = 8.897371022970058e-06, damping=0.4, BP density N/V=1.1825431160964557, chemical potential=0
T=1.0000000000000002, Entropy = 80.16793378052598, Converged=True, Max dm = 7.4747955182696835e-06, damping=0.4, BP density N/V=1.1459910356429766, chemical potential=0
T=1.1000000000000003, Entropy = 75.18099915893798, Converged=True, Max dm = 7.419061746949396e-06, damping=0.4, BP density N/V=1.1098145325694497, chemical potential=0
T=1.2000000000000004, Entropy = 71.27497499416194, Converged=True, Max dm = 6.66824041328784e-06, damping=0.4, BP density N/V=1.0753775123562725, chemical potential=0
T=1.3000000000000003, Entropy = 68.16261731409638, Converged=True, Max dm = 6.521122283525971e-06, damping=0.4, BP density N/V=1.0434683308889146, chemical potential=0
T=1.4000000000000004, Entropy = 65.64252199491784, Converged=True, Max dm = 7.686471981904752e-06, damping=0.4, BP density N/V=1.0144195791586001, chemical potential=0
T=1.5000000000000004, Entropy = 63.571427013734194, Converged=True, Max dm = 7.632420266523443e-06, damping=0.4, BP density N/V=0.9882590471405125, chemical potential=0
T=1.6000000000000003, Entropy = 61.84599682783775, Converged=True, Max dm = 6.985323310226832e-06, damping=0.4, BP density N/V=0.9648343455462288, chemical potential=0
T=1.7000000000000004, Entropy = 60.39063958394596, Converged=True, Max dm = 8.796180760828332e-06, damping=0.4, BP density N/V=0.9439075397298018, chemical potential=0
T=1.8000000000000005, Entropy = 59.14927051696741, Converged=True, Max dm = 8.000017301112994e-06, damping=0.4, BP density N/V=0.925213688999524, chemical potential=0
T=1.9000000000000006, Entropy = 58.07969103575501, Converged=True, Max dm = 6.87363426055132e-06, damping=0.4, BP density N/V=0.9084903237334739, chemical potential=0
T=2.000000000000001, Entropy = 57.149715082028216, Converged=True, Max dm = 6.826507374046997e-06, damping=0.4, BP density N/V=0.8934930337213969, chemical potential=0
T=2.1000000000000005, Entropy = 56.334470804948985, Converged=True, Max dm = 6.299108155249922e-06, damping=0.4, BP density N/V=0.8800040251223376, chemical potential=0
T=2.200000000000001, Entropy = 55.61449911293963, Converged=True, Max dm = 6.332835502775858e-06, damping=0.4, BP density N/V=0.8678322803693003, chemical potential=0
T=2.3000000000000007, Entropy = 54.97439754428672, Converged=True, Max dm = 6.271161023363447e-06, damping=0.4, BP density N/V=0.8568124264910311, chemical potential=0
T=2.400000000000001, Entropy = 54.40184118865547, Converged=True, Max dm = 8.094237508304847e-06, damping=0.4, BP density N/V=0.8468004806150272, chemical potential=0
T=2.500000000000001, Entropy = 53.88686721779746, Converged=True, Max dm = 8.625043557086709e-06, damping=0.4, BP density N/V=0.8376734854810641, chemical potential=0
T=2.600000000000001, Entropy = 53.421345830710116, Converged=True, Max dm = 8.354588414416497e-06, damping=0.4, BP density N/V=0.8293279380978953, chemical potential=0
T=2.700000000000001, Entropy = 52.9985845494538, Converged=True, Max dm = 8.767595252312521e-06, damping=0.4, BP density N/V=0.8216728530049195, chemical potential=0
T=2.800000000000001, Entropy = 52.61302900386656, Converged=True, Max dm = 8.237620624074182e-06, damping=0.4, BP density N/V=0.814629595616597, chemical potential=0
T=2.9000000000000012, Entropy = 52.26003430641927, Converged=True, Max dm = 9.738455070129604e-06, damping=0.4, BP density N/V=0.8081266075925625, chemical potential=0
T=3.000000000000001, Entropy = 51.9356886299997, Converged=True, Max dm = 6.927995296168721e-06, damping=0.4, BP density N/V=0.8021128718920897, chemical potential=0
T=3.100000000000001, Entropy = 51.63667578730734, Converged=True, Max dm = 5.434178069196882e-06, damping=0.4, BP density N/V=0.7965346971398464, chemical potential=0
T=3.200000000000001, Entropy = 51.36016724611421, Converged=True, Max dm = 9.959071647969164e-06, damping=0.4, BP density N/V=0.7913490434695778, chemical potential=0
T=3.300000000000001, Entropy = 51.10373656058538, Converged=True, Max dm = 9.990818855609707e-06, damping=0.4, BP density N/V=0.7865118695564922, chemical potential=0
T=3.4000000000000012, Entropy = 50.86529103031411, Converged=True, Max dm = 9.04341155838484e-06, damping=0.4, BP density N/V=0.7819953999887862, chemical potential=0
T=3.5000000000000013, Entropy = 50.64301671370445, Converged=True, Max dm = 9.928486926158442e-06, damping=0.4, BP density N/V=0.7777690253084543, chemical potential=0
T=3.6000000000000014, Entropy = 50.435333871878534, Converged=True, Max dm = 6.743163883327075e-06, damping=0.4, BP density N/V=0.7738049757763124, chemical potential=0
T=3.7000000000000015, Entropy = 50.240860630235865, Converged=True, Max dm = 8.713528172943352e-06, damping=0.4, BP density N/V=0.7700809760842902, chemical potential=0
T=3.8000000000000016, Entropy = 50.05838315021031, Converged=True, Max dm = 6.571702175717231e-06, damping=0.4, BP density N/V=0.7665750149740489, chemical potential=0
