T=4.599999999999999, Entropy = 149.05821988727718, Converged=True, Max dm = 7.561060055838453e-09, damping=0.4, BP density N/V=0.7604662759783659, chemical potential=0
T=4.699999999999999, Entropy = 148.46955545987004, Converged=True, Max dm = 8.535082363092528e-09, damping=0.4, BP density N/V=0.7572603155998384, chemical potential=0
T=4.799999999999999, Entropy = 147.9110132195491, Converged=True, Max dm = 9.766474601269337e-09, damping=0.4, BP density N/V=0.7542102926228026, chemical potential=0
T=4.899999999999999, Entropy = 147.38035533427043, Converged=True, Max dm = 9.177804100035658e-09, damping=0.4, BP density N/V=0.7513052767781823, chemical potential=0
T=4.999999999999999, Entropy = 146.87555877121935, Converged=True, Max dm = 8.767762460504258e-09, damping=0.4, BP density N/V=0.748535320086675, chemical potential=0
T=5.099999999999999, Entropy = 146.39479029768228, Converged=True, Max dm = 9.117856858420481e-09, damping=0.4, BP density N/V=0.7458913506944159, chemical potential=0
T=5.199999999999999, Entropy = 145.9363848718512, Converged=True, Max dm = 9.864791067348833e-09, damping=0.4, BP density N/V=0.7433650799576985, chemical potential=0
T=5.299999999999999, Entropy = 145.49882690241012, Converged=True, Max dm = 8.74905162207007e-09, damping=0.4, BP density N/V=0.7409489209211721, chemical potential=0
T=5.399999999999999, Entropy = 145.08073394479433, Converged=True, Max dm = 8.271833551454222e-09, damping=0.4, BP density N/V=0.7386359166193708, chemical potential=0
T=5.499999999999999, Entropy = 144.680842474393, Converged=True, Max dm = 9.771926628987515e-09, damping=0.4, BP density N/V=0.736419676869501, chemical potential=0
T=5.599999999999999, Entropy = 144.29799543611352, Converged=True, Max dm = 7.302443344459064e-09, damping=0.4, BP density N/V=0.7342943224224507, chemical potential=0
T=5.699999999999999, Entropy = 143.9311313181221, Converged=True, Max dm = 9.028347541795156e-09, damping=0.4, BP density N/V=0.73225443550574, chemical potential=0
T=5.799999999999999, Entropy = 143.5792745375479, Converged=True, Max dm = 8.520332356320992e-09, damping=0.4, BP density N/V=0.7302950159323666, chemical potential=0
