T=4.799999999999999, Entropy = 47.82417439218779, Converged=True, Max dm = 9.885850194013557e-09, damping=0.4, BP density N/V=0.4251417086170188, chemical potential=0
T=4.8999999999999995, Entropy = 47.93907417373209, Converged=True, Max dm = 9.65340696268413e-09, damping=0.4, BP density N/V=0.4270096392852554, chemical potential=0
T=4.999999999999999, Entropy = 48.05463056301689, Converged=True, Max dm = 9.81127534771531e-09, damping=0.4, BP density N/V=0.42887991102977696, chemical potential=0
T=5.099999999999999, Entropy = 48.17068527896616, Converged=True, Max dm = 9.834626335525343e-09, damping=0.4, BP density N/V=0.43075087427524217, chemical potential=0
T=5.199999999999999, Entropy = 48.28709557036311, Converged=True, Max dm = 9.59276502676687e-09, damping=0.4, BP density N/V=0.4326210366363994, chemical potential=0
T=5.299999999999999, Entropy = 48.40373264756698, Converged=True, Max dm = 9.210577245344354e-09, damping=0.4, BP density N/V=0.4344890478913934, chemical potential=0
T=5.3999999999999995, Entropy = 48.52048029131627, Converged=True, Max dm = 9.559107672085787e-09, damping=0.4, BP density N/V=0.43635368656409906, chemical potential=0
T=5.499999999999999, Entropy = 48.6372336160638, Converged=True, Max dm = 9.078922280636448e-09, damping=0.4, BP density N/V=0.4382138479204572, chemical potential=0
T=5.599999999999999, Entropy = 48.7538979684959, Converged=True, Max dm = 9.856313931688732e-09, damping=0.4, BP density N/V=0.44006853321027345, chemical potential=0
T=5.699999999999999, Entropy = 48.870387944613114, Converged=True, Max dm = 9.009380186331128e-09, damping=0.4, BP density N/V=0.4419168400084795, chemical potential=0
T=5.799999999999999, Entropy = 48.98662651103818, Converged=True, Max dm = 9.114710541879845e-09, damping=0.4, BP density N/V=0.44375795352902625, chemical potential=0
T=5.8999999999999995, Entropy = 49.102544218145574, Converged=True, Max dm = 9.683713553254591e-09, damping=0.4, BP density N/V=0.44559113880097667, chemical potential=0
T=5.999999999999999, Entropy = 49.21807849426193, Converged=True, Max dm = 9.101385867182898e-09, damping=0.4, BP density N/V=0.4474157336104212, chemical potential=0
T=6.099999999999999, Entropy = 49.333173011597154, Converged=True, Max dm = 9.190194383279504e-09, damping=0.4, BP density N/V=0.4492311421238914, chemical potential=0
T=6.199999999999999, Entropy = 49.44777711575715, Converged=True, Max dm = 9.142588075494729e-09, damping=0.4, BP density N/V=0.45103682911935805, chemical potential=0
T=6.299999999999999, Entropy = 49.56184531173047, Converged=True, Max dm = 9.847235027393708e-09, damping=0.4, BP density N/V=0.45283231475986546, chemical potential=0
T=6.399999999999999, Entropy = 49.675336800120526, Converged=True, Max dm = 9.689442304061657e-09, damping=0.4, BP density N/V=0.4546171698526188, chemical potential=0
T=6.499999999999999, Entropy = 49.788215058163495, Converged=True, Max dm = 9.012496304805495e-09, damping=0.4, BP density N/V=0.4563910115431048, chemical potential=0
T=6.599999999999999, Entropy = 49.90044746073119, Converged=True, Max dm = 8.587899613665684e-09, damping=0.4, BP density N/V=0.4581534993996436, chemical potential=0
T=6.699999999999998, Entropy = 50.012004937089216, Converged=True, Max dm = 8.608355916983612e-09, damping=0.4, BP density N/V=0.45990433184892393, chemical potential=0
T=6.799999999999999, Entropy = 50.12286165968086, Converged=True, Max dm = 8.772505666332364e-09, damping=0.4, BP density N/V=0.4616432429274846, chemical potential=0
T=6.899999999999999, Entropy = 50.23299476163414, Converged=True, Max dm = 9.04742425422711e-09, damping=0.4, BP density N/V=0.46336999931804995, chemical potential=0
T=6.999999999999999, Entropy = 50.34238408007319, Converged=True, Max dm = 9.929338518066544e-09, damping=0.4, BP density N/V=0.46508439764300674, chemical potential=0
T=7.099999999999999, Entropy = 50.45101192263967, Converged=True, Max dm = 9.288635582915816e-09, damping=0.4, BP density N/V=0.4667862619903445, chemical potential=0
T=7.199999999999998, Entropy = 50.558862854917464, Converged=True, Max dm = 8.976884013911501e-09, damping=0.4, BP density N/V=0.4684754416500025, chemical potential=0
T=7.299999999999999, Entropy = 50.66592350671661, Converged=True, Max dm = 8.967606546228524e-09, damping=0.4, BP density N/V=0.47015180904090553, chemical potential=0
T=7.399999999999999, Entropy = 50.772182395378024, Converged=True, Max dm = 8.80488093546461e-09, damping=0.4, BP density N/V=0.4718152578110302, chemical potential=0
T=7.499999999999999, Entropy = 50.87762976447437, Converged=True, Max dm = 9.48474521145215e-09, damping=0.4, BP density N/V=0.47346570109465497, chemical potential=0
T=7.599999999999999, Entropy = 50.98225743644419, Converged=True, Max dm = 8.391416395081563e-09, damping=0.4, BP density N/V=0.47510306991256235, chemical potential=0
T=7.699999999999998, Entropy = 51.0860586778503, Converged=True, Max dm = 9.837169800963608e-09, damping=0.4, BP density N/V=0.4767273117023956, chemical potential=0
