T=0.5, Entropy = 299.0204759419623, Converged=True, Max dm = 9.607139750400506e-09, damping=0.4, BP density N/V=1.0388514385687195, chemical potential=0
T=0.6, Entropy = 250.69423341121535, Converged=True, Max dm = 9.752138929730592e-09, damping=0.4, BP density N/V=1.0293146026895401, chemical potential=0
T=0.7, Entropy = 216.8842086973034, Converged=True, Max dm = 9.978431025903234e-09, damping=0.4, BP density N/V=1.0160052641841553, chemical potential=0
T=0.7999999999999999, Entropy = 192.2354898734765, Converged=True, Max dm = 9.889599528190018e-09, damping=0.4, BP density N/V=0.9989876735992528, chemical potential=0
T=0.8999999999999999, Entropy = 173.74102490398667, Converged=True, Max dm = 9.906337639087326e-09, damping=0.4, BP density N/V=0.9786879116824662, chemical potential=0
T=0.9999999999999999, Entropy = 159.56718738011412, Converged=True, Max dm = 9.921608645768742e-09, damping=0.4, BP density N/V=0.9557598971209113, chemical potential=0
T=1.0999999999999999, Entropy = 148.52476588974338, Converged=True, Max dm = 9.941963696746825e-09, damping=0.4, BP density N/V=0.9309393754389887, chemical potential=0
T=1.1999999999999997, Entropy = 139.8062958206387, Converged=False, Max dm = 1.5016065557649227e-07, damping=0.4, BP density N/V=0.9049301834558834, chemical potential=0
T=1.2999999999999998, Entropy = 132.84452686028501, Converged=False, Max dm = 2.0187016167572125e-06, damping=0.4, BP density N/V=0.8783409322038073, chemical potential=0
T=1.4, Entropy = 127.23057085847337, Converged=False, Max dm = 3.0648936955979256e-05, damping=0.4, BP density N/V=0.8516638700244544, chemical potential=0
T=1.4999999999999998, Entropy = 122.66374358165857, Converged=False, Max dm = 2.6194396325118774e-05, damping=0.4, BP density N/V=0.8252819772209957, chemical potential=0
T=1.5999999999999996, Entropy = 118.91916677156208, Converged=False, Max dm = 4.2933556073210255e-05, damping=0.4, BP density N/V=0.7994732757274786, chemical potential=0
T=1.6999999999999997, Entropy = 115.8267154918753, Converged=False, Max dm = 1.987977288725462e-05, damping=0.4, BP density N/V=0.774468101656159, chemical potential=0
T=1.7999999999999998, Entropy = 113.25552488274566, Converged=False, Max dm = 1.1728020829993024e-05, damping=0.4, BP density N/V=0.750391156079417, chemical potential=0
T=1.8999999999999997, Entropy = 111.10447555325737, Converged=False, Max dm = 4.501474494211788e-06, damping=0.4, BP density N/V=0.7273532686778165, chemical potential=0
T=1.9999999999999996, Entropy = 109.29432927058484, Converged=False, Max dm = 1.8837493798162797e-07, damping=0.4, BP density N/V=0.7054023071352313, chemical potential=0
T=2.0999999999999996, Entropy = 107.76263332242361, Converged=False, Max dm = 3.52030325778685e-07, damping=0.4, BP density N/V=0.6845567454534596, chemical potential=0
T=2.1999999999999997, Entropy = 106.4598192348608, Converged=False, Max dm = 1.3957092154237571e-07, damping=0.4, BP density N/V=0.6648217496470558, chemical potential=0
T=2.3, Entropy = 105.34621363203523, Converged=False, Max dm = 2.8036375721018914e-08, damping=0.4, BP density N/V=0.6461779970279022, chemical potential=0
T=2.3999999999999995, Entropy = 104.38988457536036, Converged=True, Max dm = 9.995945127183603e-09, damping=0.4, BP density N/V=0.6285926643987301, chemical potential=0
T=2.4999999999999996, Entropy = 103.5649783563502, Converged=True, Max dm = 9.947010104482956e-09, damping=0.4, BP density N/V=0.6120229205269163, chemical potential=0
T=2.5999999999999996, Entropy = 102.85044725903805, Converged=True, Max dm = 9.951568014088252e-09, damping=0.4, BP density N/V=0.5964199042895588, chemical potential=0
