T=4.599999999999999, Entropy = 70.89668068518516, Converged=True, Max dm = 9.553223045966064e-09, damping=0.4, BP density N/V=0.4207161106648353, chemical potential=0
T=4.699999999999999, Entropy = 71.09114062030439, Converged=True, Max dm = 9.59046658755014e-09, damping=0.4, BP density N/V=0.42279923931266855, chemical potential=0
T=4.799999999999999, Entropy = 71.28546872191689, Converged=True, Max dm = 9.579680548821301e-09, damping=0.4, BP density N/V=0.42487394158703656, chemical potential=0
T=4.899999999999999, Entropy = 71.47945797259018, Converged=True, Max dm = 9.632386277491634e-09, damping=0.4, BP density N/V=0.42693885242347285, chemical potential=0
T=4.999999999999999, Entropy = 71.67292533112588, Converged=True, Max dm = 9.157555602712364e-09, damping=0.4, BP density N/V=0.42899276689534427, chemical potential=0
T=5.099999999999999, Entropy = 71.86570907116815, Converged=True, Max dm = 8.83542283780514e-09, damping=0.4, BP density N/V=0.4310346232691094, chemical potential=0
T=5.199999999999999, Entropy = 72.05766644269352, Converged=True, Max dm = 9.039391346554737e-09, damping=0.4, BP density N/V=0.43306348801117683, chemical potential=0
T=5.299999999999999, Entropy = 72.24867161268877, Converged=True, Max dm = 8.728489708786924e-09, damping=0.4, BP density N/V=0.4350785424946173, chemical potential=0
T=5.399999999999999, Entropy = 72.43861384790969, Converged=True, Max dm = 8.904933568310014e-09, damping=0.4, BP density N/V=0.4370790711902439, chemical potential=0
T=5.499999999999999, Entropy = 72.62739590808481, Converged=True, Max dm = 9.651035859370438e-09, damping=0.4, BP density N/V=0.43906445115703824, chemical potential=0
T=5.599999999999999, Entropy = 72.81493262253096, Converged=True, Max dm = 9.763972241838559e-09, damping=0.4, BP density N/V=0.44103414267264596, chemical potential=0
T=5.699999999999999, Entropy = 73.00114962699436, Converged=True, Max dm = 9.83380432639791e-09, damping=0.4, BP density N/V=0.4429876808664167, chemical potential=0
T=5.799999999999999, Entropy = 73.1859822407817, Converged=True, Max dm = 9.502517939186106e-09, damping=0.4, BP density N/V=0.44492466823596094, chemical potential=0
T=5.899999999999999, Entropy = 73.36937446699994, Converged=True, Max dm = 9.260813726985617e-09, damping=0.4, BP density N/V=0.4468447679439304, chemical potential=0
T=5.999999999999999, Entropy = 73.55127810104477, Converged=True, Max dm = 9.785039889464997e-09, damping=0.4, BP density N/V=0.4487476978051621, chemical potential=0
T=6.099999999999999, Entropy = 73.73165193446722, Converged=True, Max dm = 9.349937379887763e-09, damping=0.4, BP density N/V=0.45063322488585805, chemical potential=0
T=6.199999999999998, Entropy = 73.91046104303764, Converged=True, Max dm = 9.443462789526791e-09, damping=0.4, BP density N/V=0.4525011606463145, chemical potential=0
T=6.299999999999999, Entropy = 74.08767614927308, Converged=True, Max dm = 9.525562949530553e-09, damping=0.4, BP density N/V=0.45435135656725906, chemical potential=0
T=6.399999999999999, Entropy = 74.26327305093304, Converged=True, Max dm = 9.291940827882428e-09, damping=0.4, BP density N/V=0.45618370020716226, chemical potential=0
T=6.499999999999998, Entropy = 74.43723210805852, Converged=True, Max dm = 9.486412100301322e-09, damping=0.4, BP density N/V=0.45799811164424953, chemical potential=0
T=6.599999999999999, Entropy = 74.60953778205169, Converged=True, Max dm = 8.67554494909939e-09, damping=0.4, BP density N/V=0.4597945402624344, chemical potential=0
T=6.699999999999998, Entropy = 74.78017822107851, Converged=True, Max dm = 9.30773053076095e-09, damping=0.4, BP density N/V=0.46157296184517677, chemical potential=0
T=6.799999999999999, Entropy = 74.94914488677641, Converged=True, Max dm = 9.565605973982372e-09, damping=0.4, BP density N/V=0.4633333759454358, chemical potential=0
T=6.899999999999999, Entropy = 75.11643221783817, Converged=True, Max dm = 8.703711973367945e-09, damping=0.4, BP density N/V=0.46507580350349825, chemical potential=0
T=6.999999999999998, Entropy = 75.28203732656881, Converged=True, Max dm = 9.036037973420008e-09, damping=0.4, BP density N/V=0.46680028468766693, chemical potential=0
T=7.099999999999999, Entropy = 75.44595972495628, Converged=True, Max dm = 8.207267310211819e-09, damping=0.4, BP density N/V=0.4685068769355463, chemical potential=0
T=7.199999999999998, Entropy = 75.60820107720193, Converged=True, Max dm = 8.924552874489677e-09, damping=0.4, BP density N/V=0.47019565317611595, chemical potential=0
T=7.299999999999999, Entropy = 75.76876497599805, Converged=True, Max dm = 8.191386402511824e-09, damping=0.4, BP density N/V=0.47186670021493543, chemical potential=0
T=7.399999999999999, Entropy = 75.92765674013789, Converged=True, Max dm = 9.535716993802623e-09, damping=0.4, BP density N/V=0.47352011726669174, chemical potential=0
T=7.499999999999998, Entropy = 76.08488323131765, Converged=True, Max dm = 9.88328863193999e-09, damping=0.4, BP density N/V=0.4751560146209916, chemical potential=0
T=7.599999999999999, Entropy = 76.24045268822049, Converged=True, Max dm = 8.390856898188304e-09, damping=0.4, BP density N/V=0.4767745124287569, chemical potential=0
T=7.699999999999998, Entropy = 76.39437457617812, Converged=True, Max dm = 9.164380143644735e-09, damping=0.4, BP density N/V=0.4783757395978993, chemical potential=0
T=7.799999999999998, Entropy = 76.54665945088588, Converged=True, Max dm = 7.926217571174732e-09, damping=0.4, BP density N/V=0.4799598327880983, chemical potential=0
T=7.899999999999999, Entropy = 76.69731883481364, Converged=True, Max dm = 8.509226545605486e-09, damping=0.4, BP density N/V=0.481526935495535, chemical potential=0
T=7.999999999999998, Entropy = 76.84636510508956, Converged=True, Max dm = 7.931217460566131e-09, damping=0.4, BP density N/V=0.4830771972193527, chemical potential=0
T=8.099999999999998, Entropy = 76.99381139176623, Converged=True, Max dm = 9.780131704495432e-09, damping=0.4, BP density N/V=0.4846107727024259, chemical potential=0
T=8.2, Entropy = 77.13967148548663, Converged=True, Max dm = 8.316903277183485e-09, damping=0.4, BP density N/V=0.48612782123974163, chemical potential=0
T=8.299999999999997, Entropy = 77.28395975366975, Converged=True, Max dm = 9.036366488412995e-09, damping=0.4, BP density N/V=0.4876285060483559, chemical potential=0
T=8.399999999999999, Entropy = 77.42669106441824, Converged=True, Max dm = 8.72575650623375e-09, damping=0.4, BP density N/V=0.4891129936934462, chemical potential=0
T=8.499999999999998, Entropy = 77.56788071744117, Converged=True, Max dm = 9.61988361192212e-09, damping=0.4, BP density N/V=0.49058145356553196, chemical potential=0
T=8.599999999999998, Entropy = 77.70754438133984, Converged=True, Max dm = 8.081572799856218e-09, damping=0.4, BP density N/V=0.49203405740436884, chemical potential=0
T=8.699999999999998, Entropy = 77.8456980366815, Converged=True, Max dm = 9.160786906825535e-09, damping=0.4, BP density N/V=0.49347097886546054, chemical potential=0
T=8.799999999999999, Entropy = 77.98235792433354, Converged=True, Max dm = 7.793316714188592e-09, damping=0.4, BP density N/V=0.49489239312549715, chemical potential=0
T=8.899999999999999, Entropy = 78.11754049858435, Converged=True, Max dm = 9.571635761762565e-09, damping=0.4, BP density N/V=0.49629847652337367, chemical potential=0
T=8.999999999999998, Entropy = 78.25126238461958, Converged=True, Max dm = 9.485395413566522e-09, damping=0.4, BP density N/V=0.4976894062337391, chemical potential=0
T=9.099999999999998, Entropy = 78.38354033997108, Converged=True, Max dm = 9.104215603628063e-09, damping=0.4, BP density N/V=0.4990653599703076, chemical potential=0
T=9.199999999999998, Entropy = 78.51439121957662, Converged=True, Max dm = 7.784206612626576e-09, damping=0.4, BP density N/V=0.5004265157164082, chemical potential=0
T=9.299999999999997, Entropy = 78.6438319441398, Converged=True, Max dm = 7.535323975904618e-09, damping=0.4, BP density N/V=0.5017730514804711, chemical potential=0
T=9.399999999999999, Entropy = 78.77187947149531, Converged=True, Max dm = 8.541832074993039e-09, damping=0.4, BP density N/V=0.5031051450743542, chemical potential=0
T=9.499999999999998, Entropy = 78.89855077071684, Converged=True, Max dm = 8.399241857581785e-09, damping=0.4, BP density N/V=0.504422973912593, chemical potential=0
T=9.599999999999998, Entropy = 79.0238627987292, Converged=True, Max dm = 8.914460447595474e-09, damping=0.4, BP density N/V=0.5057267148308314, chemical potential=0
T=9.699999999999998, Entropy = 79.14783247920379, Converged=True, Max dm = 9.812127776953616e-09, damping=0.4, BP density N/V=0.5070165439218273, chemical potential=0
T=9.799999999999997, Entropy = 79.27047668354366, Converged=True, Max dm = 8.228470738114169e-09, damping=0.4, BP density N/V=0.508292636387578, chemical potential=0
T=9.899999999999999, Entropy = 79.3918122137722, Converged=True, Max dm = 9.409974466301207e-09, damping=0.4, BP density N/V=0.5095551664062252, chemical potential=0
