T=5.0, Entropy = 21.816131586025975, Converged=True, Max dm = 7.702903857764731e-06, damping=0.4, BP density N/V=0.8620050229312819, chemical potential=0
T=5.1, Entropy = 21.69974719173838, Converged=True, Max dm = 9.60316850179277e-06, damping=0.4, BP density N/V=0.8569852911147318, chemical potential=0
T=5.199999999999999, Entropy = 21.58911044510731, Converged=True, Max dm = 7.935923257373911e-06, damping=0.4, BP density N/V=0.8521771360885301, chemical potential=0
T=5.299999999999999, Entropy = 21.483815680791935, Converged=True, Max dm = 6.581504115643622e-06, damping=0.4, BP density N/V=0.8475683319526057, chemical potential=0
T=5.399999999999999, Entropy = 21.383493623501863, Converged=True, Max dm = 8.121088859669445e-06, damping=0.4, BP density N/V=0.8431459209745473, chemical potential=0
T=5.499999999999998, Entropy = 21.287807499056427, Converged=True, Max dm = 7.289389523101875e-06, damping=0.4, BP density N/V=0.838902468553107, chemical potential=0
T=5.599999999999998, Entropy = 21.196449617507138, Converged=True, Max dm = 8.402495963844014e-06, damping=0.4, BP density N/V=0.8348267341305733, chemical potential=0
T=5.6999999999999975, Entropy = 21.10913837111148, Converged=True, Max dm = 6.105427532820951e-06, damping=0.4, BP density N/V=0.8309096750485387, chemical potential=0
T=5.799999999999997, Entropy = 21.02561558628739, Converged=True, Max dm = 6.626104942675237e-06, damping=0.4, BP density N/V=0.8271425777125416, chemical potential=0
T=5.899999999999997, Entropy = 20.94564418519456, Converged=True, Max dm = 6.632701743058966e-06, damping=0.4, BP density N/V=0.8235183149730145, chemical potential=0
T=5.9999999999999964, Entropy = 20.86900611525858, Converged=True, Max dm = 7.434729026756237e-06, damping=0.4, BP density N/V=0.8200322674554205, chemical potential=0
T=6.099999999999996, Entropy = 20.795500514063576, Converged=True, Max dm = 6.108552292827252e-06, damping=0.4, BP density N/V=0.8166682822006935, chemical potential=0
T=6.199999999999996, Entropy = 20.724942076756324, Converged=True, Max dm = 8.212431402476739e-06, damping=0.4, BP density N/V=0.8134307716660353, chemical potential=0
