T=0.1, Entropy = 129947.06169711359
T=0.2, Entropy = 64973.53084848953
T=0.30000000000000004, Entropy = 43315.68723237958
T=0.4, Entropy = 32486.765424245576
T=0.5, Entropy = 25989.41233940031
T=0.6, Entropy = 21657.84361614208
T=0.7000000000000001, Entropy = 18563.865956724923
T=0.8, Entropy = 16243.382712141978
T=0.9, Entropy = 14438.562410789313
T=1.0, Entropy = 12994.706169716732
T=1.1, Entropy = 11813.369245226013
T=1.2000000000000002, Entropy = 10828.921808310706
T=1.3000000000000003, Entropy = 9995.927823731252
T=1.4000000000000001, Entropy = 9281.932981242791
T=1.5000000000000002, Entropy = 8663.137454542142
T=1.6, Entropy = 8121.6913761325195
T=1.7000000000000002, Entropy = 7643.944850967778
T=1.8000000000000003, Entropy = 7219.281299524528
T=1.9000000000000001, Entropy = 6839.319219568686
T=2.0, Entropy = 6497.353420142792
T=2.1, Entropy = 6187.955903719456
T=2.2, Entropy = 5906.685599393785
T=2.3000000000000003, Entropy = 5649.873818478067
T=2.4000000000000004, Entropy = 5414.463346724731
T=2.5000000000000004, Entropy = 5197.886154805315
T=2.6, Entropy = 4997.969329688489
T=2.7, Entropy = 4812.861910251469
T=2.8000000000000003, Entropy = 4640.97740090922
T=2.9000000000000004, Entropy = 4480.948178786531
T=3.0000000000000004, Entropy = 4331.58901913291
T=3.1, Entropy = 4191.8676799260975
T=3.2, Entropy = 4060.8810013687435
T=3.3000000000000003, Entropy = 3937.835350390631
T=3.4000000000000004, Entropy = 3822.0305155460387
T=3.5000000000000004, Entropy = 3712.84636220112
T=3.6, Entropy = 3609.7317112794567
T=3.7, Entropy = 3512.195020893086
T=3.8000000000000003, Entropy = 3419.796538769389
T=3.9000000000000004, Entropy = 3332.1416615076896
T=4.0, Entropy = 3248.875289506175
T=4.1, Entropy = 3169.6770076023467
T=4.2, Entropy = 3094.2569538519288
T=4.3, Entropy = 3022.352264462646
T=4.3999999999999995, Entropy = 2953.724003270157
T=4.5, Entropy = 2888.15450041658
T=4.6, Entropy = 2825.445038011141
T=4.7, Entropy = 2765.4138311222573
T=4.8, Entropy = 2707.894261076428
T=4.9, Entropy = 2652.7333250443
