T=5.0, Entropy = 16996.10065643667
T=5.5, Entropy = 15456.909141510447
T=6.0, Entropy = 14176.728841355753
T=6.5, Entropy = 13096.21818144839
T=7.0, Entropy = 12172.933933551622
T=7.5, Entropy = 11375.688451613998
T=8.0, Entropy = 10681.030129562592
T=8.5, Entropy = 10070.970981967008
T=9.0, Entropy = 9531.474598452403
T=9.5, Entropy = 9051.422920135314
T=10.0, Entropy = 8621.893253973132
T=10.5, Entropy = 8235.641496602142
T=11.0, Entropy = 7886.725633872781
T=11.5, Entropy = 7570.2267021665075
T=12.0, Entropy = 7282.038784067
T=12.5, Entropy = 7018.7087698787645
T=13.0, Entropy = 6777.312571907102
T=13.5, Entropy = 6555.3584289270075
T=14.0, Entropy = 6350.710608100222
T=14.5, Entropy = 6161.528648165207
T=15.0, Entropy = 5986.218571916381
T=15.5, Entropy = 5823.393407645117
T=16.0, Entropy = 5671.841015722553
T=16.5, Entropy = 5530.4976951884755
T=17.0, Entropy = 5398.426398591371
T=17.5, Entropy = 5274.7986467848295
T=18.0, Entropy = 5158.879434178052
T=18.5, Entropy = 5050.014565726877
T=19.0, Entropy = 4947.619982936179
T=19.5, Entropy = 4851.172725558806
T=20.0, Entropy = 4760.2032453842185
T=20.5, Entropy = 4674.28884313807
T=21.0, Entropy = 4593.048042599983
T=21.5, Entropy = 4516.135750293329
T=22.0, Entropy = 4443.239076318837
T=22.5, Entropy = 4374.073713913444
T=23.0, Entropy = 4308.380792955362
T=23.5, Entropy = 4245.924136922823
T=24.0, Entropy = 4186.487864571299
T=24.5, Entropy = 4129.874287064498
T=25.0, Entropy = 4075.902059190699
T=25.5, Entropy = 4024.404549721825
T=26.0, Entropy = 3975.228401380571
T=26.5, Entropy = 3928.232255268366
T=27.0, Entropy = 3883.2856184074617
T=27.5, Entropy = 3840.2678560666195
T=28.0, Entropy = 3799.067293229666
T=28.5, Entropy = 3759.5804117164503
T=29.0, Entropy = 3721.7111313707023
T=29.5, Entropy = 3685.370165237729
