T=0.3, Entropy = 0.000727007146233305, Converged=True, damping=0.3, density N/V=0.00014372667101577075, chemical potential=-3.0
T=0.3, Entropy = 0.001014956674999068, Converged=True, damping=0.3, density N/V=0.00020071986177711782, chemical potential=-2.9
T=0.3, Entropy = 0.001417142332943544, Converged=True, damping=0.3, density N/V=0.0002803869476628416, chemical potential=-2.8
T=0.3, Entropy = 0.0019790618002435423, Converged=True, damping=0.3, density N/V=0.000391818922994773, chemical potential=-2.6999999999999997
T=0.3, Entropy = 0.002764503232266402, Converged=True, damping=0.3, density N/V=0.0005478193342089257, chemical potential=-2.5999999999999996
T=0.3, Entropy = 0.003863061342722407, Converged=True, damping=0.3, density N/V=0.0007664857328551784, chemical potential=-2.4999999999999996
T=0.3, Entropy = 0.005400900009358889, Converged=True, damping=0.3, density N/V=0.0010735276952074696, chemical potential=-2.3999999999999995
T=0.3, Entropy = 0.007556317930742074, Converged=True, damping=0.3, density N/V=0.0015057271747119807, chemical potential=-2.2999999999999994
T=0.3, Entropy = 0.010582571615516234, Converged=True, damping=0.3, density N/V=0.002116228280283586, chemical potential=-2.1999999999999993
T=0.3, Entropy = 0.014841974566901062, Converged=True, damping=0.3, density N/V=0.002982882859039421, chemical potential=-2.099999999999999
T=0.3, Entropy = 0.02085816783885419, Converged=True, damping=0.3, density N/V=0.004221967303699227, chemical potential=-1.9999999999999991
T=0.3, Entropy = 0.029399083217421573, Converged=True, damping=0.3, density N/V=0.006011934284425344, chemical potential=-1.899999999999999
T=0.3, Entropy = 0.04161495260212322, Converged=True, damping=0.3, density N/V=0.008637362099864177, chemical potential=-1.799999999999999
T=0.3, Entropy = 0.059282851055307395, Converged=True, damping=0.3, density N/V=0.012577404202352005, chemical potential=-1.6999999999999988
T=0.3, Entropy = 0.08527847610927919, Converged=True, damping=0.3, density N/V=0.018703987073335235, chemical potential=-1.5999999999999988
T=0.3, Entropy = 0.12459831428953883, Converged=True, damping=0.3, density N/V=0.028793722441736745, chemical potential=-1.4999999999999987
T=0.3, Entropy = 0.1869695285112708, Converged=True, damping=0.3, density N/V=0.047141622059738375, chemical potential=-1.3999999999999986
T=0.3, Entropy = 0.2954311989706958, Converged=True, damping=0.3, density N/V=0.08751710617143936, chemical potential=-1.2999999999999985
T=0.3, Entropy = 3.304137621863662, Converged=True, damping=0.3, density N/V=1.4521273716072696, chemical potential=-1.1999999999999984
T=0.3, Entropy = 5.787922215219789, Converged=True, damping=0.3, density N/V=1.4892228177084859, chemical potential=-1.0999999999999983
T=0.3, Entropy = 8.32392428980218, Converged=True, damping=0.3, density N/V=1.514916514178741, chemical potential=-0.9999999999999982
T=0.3, Entropy = 10.89662378201703, Converged=True, damping=0.3, density N/V=1.5331960196597731, chemical potential=-0.8999999999999981
T=0.3, Entropy = 13.495587255240425, Converged=True, damping=0.3, density N/V=1.5463417111023774, chemical potential=-0.799999999999998
T=0.3, Entropy = 16.113477173497074, Converged=True, damping=0.3, density N/V=1.5558285730660826, chemical potential=-0.699999999999998
T=0.3, Entropy = 18.7450299275153, Converged=True, damping=0.3, density N/V=1.5626770328239654, chemical potential=-0.5999999999999979
T=0.3, Entropy = 21.386441965825675, Converged=True, damping=0.3, density N/V=1.5676163057219907, chemical potential=-0.4999999999999978
T=0.3, Entropy = 24.034960613251837, Converged=True, damping=0.3, density N/V=1.5711741948776128, chemical potential=-0.3999999999999977
T=0.3, Entropy = 26.6885953999377, Converged=True, damping=0.3, density N/V=1.5737339913836133, chemical potential=-0.2999999999999976
T=0.3, Entropy = 29.345909288745545, Converged=True, damping=0.3, density N/V=1.5755738418414036, chemical potential=-0.1999999999999975
T=0.3, Entropy = 32.00586648972255, Converged=True, damping=0.3, density N/V=1.5768951801683966, chemical potential=-0.09999999999999742
T=0.4, Entropy = 0.008889564244451753, Converged=True, damping=0.3, density N/V=0.0017639609046887481, chemical potential=-3.0
T=0.4, Entropy = 0.011429220581006927, Converged=True, damping=0.3, density N/V=0.002270860560294634, chemical potential=-2.9
T=0.4, Entropy = 0.014699909047114823, Converged=True, damping=0.3, density N/V=0.0029256181445050395, chemical potential=-2.8
T=0.4, Entropy = 0.01891567950552353, Converged=True, damping=0.3, density N/V=0.0037728228894715046, chemical potential=-2.6999999999999997
T=0.4, Entropy = 0.024355680428419846, Converged=True, damping=0.3, density N/V=0.0048714954861787145, chemical potential=-2.5999999999999996
T=0.4, Entropy = 0.031385600837820604, Converged=True, damping=0.3, density N/V=0.006300432124619877, chemical potential=-2.4999999999999996
T=0.4, Entropy = 0.04048730616278684, Converged=True, damping=0.3, density N/V=0.008165988939138145, chemical potential=-2.3999999999999995
T=0.4, Entropy = 0.05230058691878614, Converged=True, damping=0.3, density N/V=0.010613747142434312, chemical potential=-2.2999999999999994
T=0.4, Entropy = 0.06768336716879142, Converged=True, damping=0.3, density N/V=0.013846567910513185, chemical potential=-2.1999999999999993
T=0.4, Entropy = 0.08780105972166463, Converged=True, damping=0.3, density N/V=0.018153617617494414, chemical potential=-2.099999999999999
T=0.4, Entropy = 0.11426385657392346, Converged=True, damping=0.3, density N/V=0.02395907086683228, chemical potential=-1.9999999999999991
T=0.4, Entropy = 0.14934659546597984, Converged=True, damping=0.3, density N/V=0.031907941936363225, chemical potential=-1.899999999999999
T=0.4, Entropy = 0.1963584447413267, Converged=True, damping=0.3, density N/V=0.04302568559776434, chemical potential=-1.799999999999999
T=0.4, Entropy = 0.2603000360144465, Converged=True, damping=0.3, density N/V=0.05903222220465896, chemical potential=-1.6999999999999988
T=0.4, Entropy = 0.34910299905516284, Converged=True, damping=0.3, density N/V=0.08299164787788742, chemical potential=-1.5999999999999988
T=0.4, Entropy = 0.4760890691335632, Converged=True, damping=0.3, density N/V=0.120670198168246, chemical potential=-1.4999999999999987
T=0.4, Entropy = 0.6648068446968944, Converged=True, damping=0.3, density N/V=0.1828944104367787, chemical potential=-1.3999999999999986
T=0.4, Entropy = 1.3469063050651313, Converged=True, damping=0.3, density N/V=1.2670837888215272, chemical potential=-1.2999999999999985
T=0.4, Entropy = 3.0181798864930123, Converged=True, damping=0.3, density N/V=1.3628399525526038, chemical potential=-1.1999999999999984
T=0.4, Entropy = 4.780844678857576, Converged=True, damping=0.3, density N/V=1.4187537060477353, chemical potential=-1.0999999999999983
T=0.4, Entropy = 6.602275487051184, Converged=True, damping=0.3, density N/V=1.4574334685848764, chemical potential=-0.9999999999999982
